date,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY,US,PR
2022-10-22,6.380434782608695,63.15,37.94285714285714,42.66,163.08333333333334,28.80701754385965,18.863636363636363,2.3592233009708736,7.182795698924731,147.65625,115.57377049180327,7.222222222222222,22.82608695652174,6.956521739130435,58.78947368421053,93.85039370078741,27.37313432835821,33.2,65.01428571428572,35.25,26.387096774193548,5.777777777777778,46.69047619047619,25.383561643835616,71.40963855421687,64.375,2.0434782608695654,92.91780821917808,4.071428571428571,13.777777777777779,14.561904761904762,49.74,28.53061224489796,47.10891089108911,140.5441176470588,60.91836734693877,25.428571428571427,17.393939393939394,89.42857142857143,5.444444444444445,36.30232558139535,11.4,55.25,314.4,15.078947368421053,74.97260273972603,2.9420289855072466,31.396825396825395,35.08955223880597,16.115384615384617,2.742857142857143,2027.9285714285713,63.8099173553719
2022-10-29,8.372093023255815,149.13333333333333,52.25,41.113207547169814,161.6375,44.93023255813954,23.939393939393938,2.8448275862068964,7.0,170.60526315789474,141.05172413793105,8.326086956521738,25.133333333333333,10.69047619047619,63.26865671641791,93.07692307692308,30.897058823529413,43.25,70.47619047619048,32.93650793650794,68.0,8.0,62.728813559322035,32.333333333333336,78.12987012987013,103.93333333333334,1.8775510204081634,114.36363636363636,5.617021276595745,14.262295081967213,13.717948717948717,59.31818181818182,37.00819672131148,29.630434782608695,135.41304347826087,74.27358490566037,31.88235294117647,15.0,92.29166666666667,4.944444444444445,81.47727272727273,13.954545454545455,90.52325581395348,426.57798165137615,18.140350877192983,99.12727272727273,3.212121212121212,31.758064516129032,41.42307692307692,26.107142857142858,3.2142857142857144,2346.0,44.340425531914896
2022-11-05,7.55,125.55555555555556,91.9010989010989,44.520833333333336,218.19230769230768,31.333333333333332,25.274509803921568,3.698529411764706,7.157894736842105,178.025,181.71559633027522,8.0,26.22222222222222,10.385542168674698,87.38461538461539,110.29032258064517,33.86274509803921,64.5,113.57142857142857,45.69230769230769,72.38709677419355,8.232142857142858,67.24528301886792,38.602409638554214,72.62,227.42857142857142,2.2777777777777777,261.1818181818182,5.829787234042553,22.483870967741936,13.951923076923077,84.26470588235294,42.728155339805824,21.671875,142.76190476190476,99.07142857142857,39.275862068965516,18.697674418604652,112.80434782608695,5.384615384615385,127.56666666666666,13.904761904761905,159.025,754.3070175438596,15.171052631578947,175.80188679245282,3.681318681318681,35.78082191780822,42.378151260504204,49.398148148148145,3.5441176470588234,3795.8333333333335,51.97560975609756
2022-11-12,9.778846153846153,127.55555555555556,113.56521739130434,88.0,598.3119266055046,47.04225352112676,36.607142857142854,10.10344827586207,9.612068965517242,287.3829787234043,389.85714285714283,12.916666666666666,24.814814814814813,7.902777777777778,226.72222222222223,169.86666666666667,35.293103448275865,134.51111111111112,152.91666666666666,58.666666666666664,149.5909090909091,6.690476190476191,74.69620253164557,102.29807692307692,96.39473684210526,251.55555555555554,3.488372093023256,302.42857142857144,6.470588235294118,24.428571428571427,14.214285714285714,112.23255813953489,42.53658536585366,25.376237623762375,160.97802197802199,139.06756756756758,74.36,40.44444444444444,210.92537313432837,5.0,144.51470588235293,11.24074074074074,201.4102564102564,939.030303030303,16.516129032258064,244.97619047619048,3.6129032258064515,59.5,50.301886792452834,60.4375,6.65,6510.826086956522,41.44444444444444
2022-11-19,10.764705882352942,148.06140350877192,120.14814814814815,187.74603174603175,581.6666666666666,41.81578947368421,72.34848484848484,18.6,19.127906976744185,470.3888888888889,237.56774193548387,11.586206896551724,34.536842105263155,12.822784810126583,179.22222222222223,181.45283018867926,43.48780487804878,213.6046511627907,165.9,63.392857142857146,163.0,7.280487804878049,108.25,214.88888888888889,111.03333333333333,252.14285714285714,5.035714285714286,361.05555555555554,5.533898305084746,28.76,14.25,212.71028037383178,43.15625,58.5,410.64285714285717,206.05128205128204,91.89855072463769,32.75409836065574,279.87610619469024,4.685714285714286,176.92857142857142,13.786666666666667,207.66101694915255,993.4230769230769,16.746987951807228,331.0769230769231,3.24,117.54545454545455,53.86363636363637,53.0,7.095238095238095,9403.75974025974,52.594202898550726
2022-11-26,15.833333333333334,128.0,142.54430379746836,278.5263157894737,756.2608695652174,83.35211267605634,117.64,33.0,39.26315789473684,519.8333333333334,218.86111111111111,22.3,80.34375,17.25,288.94871794871796,312.4,88.71232876712328,199.11111111111111,166.28571428571428,125.94736842105263,147.0,15.032967032967033,153.28571428571428,249.33333333333334,138.27777777777777,250.0,7.413043478260869,314.3421052631579,11.333333333333334,33.81188118811881,13.76056338028169,380.57142857142856,52.0,59.086092715231786,489.5520833333333,346.26785714285717,112.19354838709677,146.38297872340425,637.1333333333333,6.5625,215.0,23.582089552238806,261.8139534883721,1717.9375,17.2,253.7835051546392,4.6,222.48979591836735,170.0909090909091,72.5,9.609756097560975,15353.39534883721,78.92307692307692
2022-12-03,20.03448275862069,264.97058823529414,407.0,310.11764705882354,1049.8181818181818,119.46875,140.77083333333334,58.0,35.638297872340424,649.0588235294117,245.61290322580646,21.308823529411764,104.72222222222223,37.833333333333336,470.0,487.875,133.63333333333333,442.10526315789474,252.25925925925927,261.7608695652174,222.25396825396825,16.42391304347826,321.6470588235294,281.2,860.0,126.13207547169812,12.03191489361702,550.1904761904761,18.210526315789473,44.19512195121951,17.315384615384616,548.88,361.0,74.32,1114.2307692307693,288.6268656716418,109.66666666666667,194.0,1036.5,7.777777777777778,224.77777777777777,42.9,540.0,1951.423076923077,26.36,445.2142857142857,4.8,732.0,211.05555555555554,318.0,14.122448979591837,15752.685185185184,46.53333333333333
2022-12-10,30.77777777777778,245.61111111111111,346.0,318.0,2492.5384615384614,132.05555555555554,394.0,45.714285714285715,69.25806451612904,634.6041666666666,219.05084745762713,13.183908045977011,115.5625,44.5,905.7272727272727,833.0,117.95348837209302,710.0,189.47826086956522,317.0689655172414,332.0,23.68553459119497,315.58490566037733,357.3333333333333,838.0,116.04395604395604,13.782945736434108,417.9130434782609,18.53846153846154,49.36363636363637,36.848214285714285,799.5,409.0,369.0,1335.6153846153845,959.0,122.22448979591837,542.0,1162.5,13.285714285714286,186.1529411764706,46.24770642201835,482.7692307692308,1954.2,31.78125,400.4878048780488,17.0,278.0,253.64285714285714,246.0,23.4,19879.675324675325,78.42105263157895
2022-12-17,47.0,173.0,257.0,325.87692307692305,1635.0,113.70212765957447,391.0,26.54,30.130434782608695,755.4375,204.7563025210084,14.826086956521738,91.30434782608695,283.0,626.9090909090909,681.0,138.47058823529412,437.0,260.94736842105266,345.0,320.6,33.719298245614034,516.5434782608696,251.0,759.0,257.6666666666667,19.322580645161292,326.125,23.509090909090908,64.33333333333333,69.09677419354838,586.6470588235294,361.0,54.294117647058826,1602.2222222222222,959.5,109.875,588.0,976.9090909090909,33.27956989247312,183.56944444444446,45.541666666666664,481.2857142857143,1869.4545454545455,32.78688524590164,242.58333333333334,24.462962962962962,681.0,461.0,227.0,41.904761904761905,19967.39393939394,64.33333333333333
2022-12-24,39.31132075471698,132.0897435897436,214.6,332.46666666666664,1607.0,257.94117647058823,270.0,26.333333333333332,32.411764705882355,758.5806451612904,195.59375,15.380952380952381,93.53846153846153,203.0,545.8888888888889,621.0,127.38095238095238,360.8888888888889,185.64444444444445,630.3333333333334,283.76190476190476,183.0,529.9574468085107,217.82857142857142,563.0,224.47727272727272,47.0,317.6923076923077,22.0,67.6,108.61904761904762,571.875,361.0,227.0,1510.3529411764705,802.0,188.82222222222222,452.0,974.3809523809524,53.659574468085104,156.33333333333334,41.8,251.70833333333334,1359.735294117647,44.57142857142857,274.05882352941177,27.428571428571427,405.0,459.90909090909093,199.0,44.0,20406.153846153848,87.07407407407408
