date,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY,US,PR
2022-10-22,5.96078431372549,78.0,38.94117647058823,41.644444444444446,155.2469135802469,25.405405405405407,17.625,2.1123595505617976,5.363636363636363,176.07042253521126,112.25,5.722222222222222,19.56756756756757,4.341463414634147,45.255319148936174,61.8,16.948275862068964,26.693877551020407,67.57377049180327,33.77777777777778,23.04255319148936,5.967741935483871,55.97435897435897,26.16923076923077,45.18604651162791,83.49450549450549,2.0434782608695654,65.56521739130434,3.1267605633802815,12.129032258064516,14.76,41.564516129032256,24.45360824742268,47.095238095238095,129.98591549295776,60.857142857142854,27.2,22.333333333333332,90.06756756756756,6.473684210526316,46.25,9.833333333333334,58.4,333.0,9.735294117647058,66.0,2.75,27.08,31.125,10.0,3.206896551724138,2000.2894736842106,59.5
2022-10-29,6.589285714285714,218.7,59.45454545454545,40.372549019607845,150.33333333333334,25.92,18.73913043478261,2.3402061855670104,4.0,176.3448275862069,136.57142857142858,6.676470588235294,30.727272727272727,6.2592592592592595,53.05797101449275,74.11111111111111,19.53968253968254,36.3728813559322,120.3225806451613,32.0,59.33766233766234,7.386363636363637,57.4375,28.476190476190474,50.8,167.5,1.8775510204081634,127.32432432432432,3.1506849315068495,12.645833333333334,13.666666666666666,40.37837837837838,36.0,28.878504672897197,140.7530864197531,71.33707865168539,30.047619047619047,16.8,105.55952380952381,5.038461538461538,113.27272727272727,14.973684210526315,94.8936170212766,479.0103092783505,12.0,111.5,2.780821917808219,30.532258064516128,38.495327102803735,31.677083333333332,3.342857142857143,2720.875,50.45205479452055
2022-11-05,7.722222222222222,289.90909090909093,111.30188679245283,42.93846153846154,230.27619047619046,25.196969696969695,23.785714285714285,3.2,6.693548387096774,193.0,198.09259259259258,5.66,33.166666666666664,7.695652173913044,82.51456310679612,93.52631578947368,29.695652173913043,69.11111111111111,172.10256410256412,49.833333333333336,119.19354838709677,8.26,59.15151515151515,52.9375,53.544117647058826,243.9047619047619,2.2777777777777777,211.1875,3.823529411764706,18.207920792079207,13.643410852713178,86.06474820143885,44.95652173913044,24.6875,138.77272727272728,122.925,40.142857142857146,24.2,132.62222222222223,5.833333333333333,199.76470588235293,14.2,192.52212389380531,729.6969696969697,10.0,182.6046511627907,3.1785714285714284,32.659574468085104,42.45762711864407,58.312,4.7924528301886795,3658.71875,64.8409090909091
2022-11-12,9.384615384615385,299.9230769230769,100.07058823529412,83.92045454545455,648.3589743589744,29.90909090909091,36.84615384615385,17.086021505376344,8.563636363636364,333.58730158730157,330.70103092783506,11.714285714285714,30.541666666666668,6.825,160.08196721311475,112.76595744680851,34.28169014084507,154.65714285714284,194.55,46.857142857142854,187.34545454545454,6.666666666666667,69.95833333333333,115.59139784946237,79.63636363636364,246.73076923076923,3.488372093023256,237.46511627906978,5.601503759398496,22.5,14.0390625,181.7225806451613,51.5,36.4,157.34146341463415,194.11940298507463,60.72727272727273,32.0,238.26315789473685,5.828571428571428,225.0612244897959,9.777777777777779,231.96969696969697,794.8125,13.454545454545455,244.9156626506024,3.9047619047619047,72.3768115942029,61.733333333333334,75.4,7.108433734939759,6717.523809523809,78.38461538461539
2022-11-19,7.133333333333334,249.93548387096774,119.23529411764706,254.06153846153848,898.5,70.01785714285714,73.58620689655173,17.014084507042252,22.266666666666666,433.032,211.0,9.339285714285714,36.0,20.414634146341463,276.9326923076923,187.89473684210526,42.08163265306123,184.35294117647058,179.33333333333334,63.0,201.0344827586207,6.8133333333333335,118.51578947368421,215.57575757575756,124.1566265060241,252.33333333333334,5.035714285714286,337.4895833333333,8.252525252525253,30.4375,14.71900826446281,242.46428571428572,68.96,82.32456140350877,384.07547169811323,221.56521739130434,86.33333333333333,60.523809523809526,321.219512195122,6.178571428571429,275.9512195121951,13.355555555555556,208.73684210526315,794.7777777777778,15.026666666666667,249.36170212765958,2.7045454545454546,166.625,73.2051282051282,83.0,7.055555555555555,9619.655462184874,97.01948051948052
2022-11-26,10.546296296296296,249.84745762711864,131.66666666666666,465.4,1021.2857142857143,104.71428571428571,142.86,21.083333333333332,40.81395348837209,605.1578947368421,225.88888888888889,14.576923076923077,75.12121212121212,22.428571428571427,410.1720430107527,389.94444444444446,125.27272727272727,266.73333333333335,187.46153846153845,136.75862068965517,146.4375,22.025,244.375,237.5,189.6,252.7826086956522,7.413043478260869,369.6777777777778,11.080645161290322,35.91111111111111,13.918367346938776,508.72727272727275,49.02127659574468,52.99248120300752,651.0333333333333,496.2,180.34920634920636,167.27272727272728,566.7241379310345,6.916666666666667,238.5,33.22222222222222,218.77358490566039,1802.0,15.157894736842104,335.8636363636364,6.509615384615385,265.3333333333333,218.9268292682927,130.46153846153845,10.68421052631579,15541.67857142857,73.83333333333333
2022-12-03,19.543478260869566,298.40579710144925,407.0,472.28,3160.0,115.6140350877193,169.25714285714287,47.7037037037037,46.875,878.5185185185185,299.06451612903226,18.512820512820515,95.02898550724638,33.666666666666664,924.3333333333334,833.0,305.0,464.1666666666667,242.375,336.35714285714283,326.6,26.75206611570248,396.3333333333333,209.04166666666666,615.3170731707318,144.58620689655172,12.03191489361702,509.85185185185185,14.208333333333334,42.21875,17.846715328467152,560.7083333333334,361.0,60.04347826086956,1250.72,960.0,179.82,159.11764705882354,1084.0,6.288888888888889,155.0,54.44230769230769,480.0,1987.888888888889,21.52777777777778,499.0,4.336134453781512,282.225,461.0,318.0,14.891304347826088,18242.793103448275,54.9811320754717
2022-12-10,30.0,257.6923076923077,346.0,347.84444444444443,2406.0,137.7391304347826,394.0,39.36,42.53125,686.972972972973,228.53061224489795,14.304347826086957,219.2,48.36842105263158,910.2,837.25,261.0,710.0,245.3012048192771,415.0,332.875,35.283185840707965,517.3389830508474,232.57894736842104,483.75384615384615,244.56521739130434,13.782945736434108,376.3333333333333,19.365853658536587,63.08771929824562,41.59349593495935,793.6,409.0,369.0,1341.1186440677966,959.0,135.35714285714286,122.61538461538461,1251.142857142857,10.666666666666666,156.0,66.7948717948718,482.25,1980.3103448275863,33.04819277108434,436.9310344827586,13.0,580.8,461.0,246.0,21.52173913043478,20600.17391304348,74.3225806451613
2022-12-17,47.16129032258065,137.375,257.0,376.56410256410254,1635.0,122.33333333333333,391.85714285714283,23.0,27.666666666666668,781.4074074074074,202.13675213675214,13.38888888888889,80.5,283.0,787.2,681.0,136.35714285714286,437.0,246.69230769230768,415.0,293.09090909090907,35.29761904761905,519.9756097560976,219.75,561.6153846153846,266.3636363636364,19.322580645161292,350.0,22.0,78.22857142857143,65.06976744186046,596.4,342.0,53.2962962962963,1661.2142857142858,963.6666666666666,140.22222222222223,170.57142857142858,981.12,35.7037037037037,148.63636363636363,49.916666666666664,262.0,1942.02,30.366666666666667,417.0769230769231,23.325581395348838,724.6,467.75,199.0,44.0,20854.375,65.96747967479675
2022-12-24,35.86666666666667,129.3,230.5,293.8636363636364,1621.0,305.5,270.0,22.41176470588235,27.974358974358974,941.6969696969697,191.0609756097561,13.366666666666667,93.14545454545454,203.0,552.8,621.0,125.95744680851064,249.72413793103448,174.94736842105263,415.0,231.25,183.0,906.0,168.5,563.0,157.47619047619048,47.0,452.8541666666667,17.575,77.27272727272727,95.03571428571429,559.4848484848485,361.0,227.0,1472.909090909091,802.0,98.25,359.94545454545454,973.8620689655172,49.75,141.66666666666666,47.93617021276596,228.0,1347.125,36.285714285714285,286.484375,27.727272727272727,457.125,459.875,155.0,46.42857142857143,22389.571428571428,92.18840579710145
