date,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY,US,PR
2022-10-22,5.8478260869565215,86.96470588235294,34.888888888888886,36.0,98.16666666666667,28.0,18.833333333333332,1.6538461538461537,6.411764705882353,136.67241379310346,115.73333333333333,6.045454545454546,12.296296296296296,5.4,25.7,72.97560975609755,9.03225806451613,21.25,56.09090909090909,21.352941176470587,33.16,4.038961038961039,32.333333333333336,18.314285714285713,29.939393939393938,63.31147540983606,2.6206896551724137,76.52777777777777,3.25,11.25,7.421052631578948,39.333333333333336,25.96511627906977,23.466666666666665,94.1,47.83050847457627,14.666666666666666,16.0,64.68181818181819,3.625,42.791666666666664,10.275,57.83783783783784,289.3333333333333,8.583333333333334,51.2,2.7662337662337664,17.8,25.83823529411765,15.178571428571429,2.2666666666666666,1633.6904761904761,73.1590909090909
2022-10-29,5.329896907216495,125.71428571428571,57.61904761904762,38.84507042253521,145.57692307692307,25.951612903225808,21.5,3.007751937984496,5.891891891891892,128.5,118.52941176470588,5.902439024390244,16.871794871794872,4.363636363636363,47.42857142857143,84.34782608695652,17.933333333333334,21.0,110.54166666666667,21.842105263157894,48.9811320754717,6.013888888888889,31.735849056603772,19.47222222222222,35.95238095238095,81.0,2.710526315789474,92.0,3.1538461538461537,13.0,7.0508474576271185,38.75,32.36363636363637,18.2,98.36111111111111,57.4,23.666666666666668,15.3,103.28571428571429,4.066666666666666,76.02564102564102,12.0,102.93103448275862,516.68,6.9,77.0,2.6,28.857142857142858,29.487179487179485,15.125,2.3783783783783785,1954.9333333333334,55.77142857142857
2022-11-05,6.1521739130434785,235.42857142857142,87.74509803921569,42.589285714285715,233.0,26.850746268656717,32.59649122807018,7.9411764705882355,5.8604651162790695,227.45833333333334,207.39285714285714,5.935483870967742,19.48936170212766,4.416666666666667,109.48387096774194,130.44444444444446,25.4468085106383,53.6,187.83870967741936,23.35483870967742,129.4078947368421,6.472222222222222,47.0,45.4054054054054,42.7906976744186,181.125,3.0454545454545454,198.08474576271186,3.0757575757575757,12.580645161290322,6.870967741935484,66.875,54.075471698113205,17.674418604651162,105.67441860465117,104.61363636363636,59.857142857142854,14.40625,180.75,4.05,205.33333333333334,8.018181818181818,117.83333333333333,613.2053571428571,8.047619047619047,175.37623762376236,2.673076923076923,31.18918918918919,20.152173913043477,57.0,3.057471264367816,3502.9444444444443,57.80327868852459
2022-11-12,11.545454545454545,330.94117647058823,123.9090909090909,90.80851063829788,451.36,26.363636363636363,32.925925925925924,22.0,10.153846153846153,341.625,221.2941176470588,6.818181818181818,19.358024691358025,18.157894736842106,188.24324324324326,161.375,49.47692307692308,132.3859649122807,197.2608695652174,27.764705882352942,141.5072463768116,5.783333333333333,52.91304347826087,90.25,78.66666666666667,215.82608695652175,3.6530612244897958,280.6470588235294,3.460526315789474,26.756756756756758,7.229508196721311,242.3,64.6,23.041666666666668,231.3235294117647,146.33333333333334,55.8,28.5,269.125,4.090909090909091,240.625,7.964285714285714,204.83636363636364,984.5,7.033333333333333,269.75,2.9473684210526314,28.08823529411765,52.421052631578945,76.13333333333334,6.178571428571429,6593.72972972973,83.72151898734177
2022-11-19,11.452380952380953,321.1666666666667,129.0,132.7941176470588,734.7659574468086,32.46478873239437,40.18032786885246,35.44444444444444,13.857142857142858,477.90909090909093,232.17543859649123,18.901515151515152,19.641304347826086,11.8,299.2121212121212,161.1304347826087,51.87179487179487,220.1509433962264,207.56521739130434,35.333333333333336,184.8095238095238,6.375,101.83333333333333,188.0,106.93181818181819,259.8333333333333,10.216666666666667,343.94117647058823,7.235294117647059,25.73076923076923,6.875,248.9516129032258,63.95,90.92,288.0952380952381,233.48,93.30952380952381,50.2,298.01724137931035,5.851851851851852,184.55555555555554,10.07843137254902,228.5909090909091,1148.5862068965516,20.97222222222222,327.4871794871795,2.9545454545454546,83.11111111111111,66.3529411764706,85.28571428571429,9.727272727272727,9414.188405797102,92.76470588235294
2022-11-26,29.0,258.90909090909093,134.33333333333334,295.27777777777777,1342.0,99.04,110.38461538461539,34.22222222222222,57.766666666666666,569.3095238095239,220.15942028985506,22.328125,32.90243902439025,26.152173913043477,515.7894736842105,337.9,69.74074074074075,280.6363636363636,173.41176470588235,76.21875,213.52941176470588,13.4,166.2058823529412,233.44444444444446,242.64150943396226,256.9130434782609,12.722222222222221,382.7857142857143,9.397590361445783,31.28,9.491803278688524,266.02127659574467,149.0,137.45,520.296875,296.31481481481484,146.38709677419354,177.21212121212122,471.51063829787233,4.411764705882353,196.46666666666667,24.796610169491526,263.6875,1146.2,21.916666666666668,265.14285714285717,3.0303030303030303,243.0,77.2,127.0,20.275862068965516,11142.878787878788,110.45762711864407
2022-12-03,69.0,246.63636363636363,407.0,464.0,1194.9166666666667,147.69387755102042,183.0,49.6,34.786407766990294,664.5277777777778,216.4418604651163,21.666666666666668,105.71428571428571,43.064516129032256,616.4285714285714,448.7647058823529,138.77272727272728,483.2857142857143,197.0,175.14814814814815,252.5,27.916666666666668,323.47058823529414,273.42857142857144,489.0,259.5,18.0,427.4,14.494736842105263,56.15625,9.4375,510.0,163.0,162.0,692.2105263157895,496.2,329.42857142857144,218.71428571428572,637.7333333333333,14.1,174.07692307692307,76.15789473684211,480.0,1792.2307692307693,40.6578947368421,353.5138888888889,9.438095238095238,544.0,225.2093023255814,189.0,21.4,15325.416666666666,107.0
2022-12-10,53.0,324.6875,466.0,577.0,3160.0,154.82608695652175,426.0,58.0,86.0,842.0,320.33898305084745,13.75,210.0,60.53333333333333,1146.0,833.0,305.0,852.0,233.6969696969697,398.5,347.0,100.0,485.6666666666667,422.6666666666667,860.0,149.8181818181818,58.0,613.7083333333334,22.583333333333332,75.71428571428571,27.614035087719298,561.0,361.0,400.0,1242.4166666666667,562.0,809.0,542.0,1075.0434782608695,22.954545454545453,225.25925925925927,69.66666666666667,690.0,2065.6315789473683,49.583333333333336,499.0,25.8125,732.0,461.0,318.0,79.0,17051.935483870966,89.54838709677419
2022-12-17,69.0,261.32142857142856,346.0,784.0,2328.5,188.6086956521739,394.0,41.30769230769231,25.4,763.7058823529412,206.44642857142858,13.155172413793103,233.0,185.0,943.0,833.0,261.0,710.0,270.4318181818182,438.2857142857143,322.5,100.0,582.5,363.5,838.0,153.08695652173913,103.0,385.1818181818182,45.19512195121951,77.94117647058823,69.59375,770.0,409.0,369.0,1400.1764705882354,959.0,868.0,658.0,1186.0,53.291666666666664,162.70149253731344,57.1,489.0,2149.0,45.17557251908397,379.1,30.764705882352942,681.0,461.0,246.0,49.0,24098.0,92.05660377358491
2022-12-24,52.333333333333336,159.3409090909091,257.0,578.3333333333334,1635.0,242.94444444444446,391.0,23.0,24.307692307692307,784.5555555555555,170.4,15.068965517241379,333.0,283.0,779.0,681.0,241.66666666666666,471.90909090909093,185.95454545454547,605.0,258.7142857142857,183.0,584.75,248.25,798.5,141.125,99.0,357.0,52.22222222222222,166.0,75.66666666666667,568.6071428571429,342.0,251.0,1765.25,959.75,788.0,691.0,1029.0,45.476190476190474,161.63492063492063,82.66666666666667,262.0,2156.076923076923,39.15686274509804,341.6933333333333,45.0,734.75,481.0,246.0,44.0,22030.30769230769,84.15789473684211
