date,US,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
2022-10-22,-1534.4861650820176,2.798592464866888,-4.73195604816938,-10.76236409558826,2.98221459278448,-95.66011588227136,-51.07488148005663,-8.631673515591046,-8.14398781611654,-6.344211338747641,-65.04413940202832,-52.26213459517527,-1.756012934835031,-1.8079048869032759,-6.67242053044574,-21.766672909040373,-39.45113466491313,-13.687363730961843,-45.87413505715826,-30.820511854425476,13.150534311200637,-29.41230105061545,4.012064078814233,-19.30070502157016,29.33569620480621,-34.754073257847324,19.81671078327598,0.3175889617458902,-62.84227727376853,0.5891597490850664,-5.141346016965423,7.043386052454956,21.967465211272696,-11.729399602321656,-3.5991233727173544,126.15749526137105,35.13202854673811,-22.280956853877562,-52.27952317263991,-66.87204523485534,1.6745666273094821,-33.04426235789958,3.8287663955772757,-56.187742970552,-55.70611699118706,-8.802750384716497,-54.38574309585678,-2.9998627960726,-23.47242515736927,9.53052753439865,-0.9877860285583377,-0.5025877269666044
2022-10-29,-707.018229085259,-5.124591112630729,-135.25519412287716,-27.85160812726702,-69.77375978088648,-185.70490865920073,-2.2703843346353985,-33.67348443232571,-11.922652006157984,16.80364103021927,-62.7097521486501,-17.765462559608977,0.985417367010414,0.3495919201941433,5.695277618483595,-91.04325872488904,11.078333578058661,3.9719787757570693,-42.601543587920034,-112.382638480955,2.8345777483690817,-78.90474755026149,3.060942343556299,-10.015673332040372,-17.087847588558493,-26.46432785238548,-37.6025559720737,0.43139725347204605,-157.61790035422172,-0.25362664603380636,6.803306994218492,2.9477503973551267,-48.48026537349686,-9.800647357459312,-20.854083221989804,-282.2294568225491,-63.13724669120062,-65.69329900475296,-12.115499643305137,-72.83584534441664,0.3812421569862142,-90.42128551906143,4.176126394884063,-57.02341792108194,-430.0207985785283,-15.40725736728297,-69.89279793748668,0.23682251790616982,-29.64470164811485,-30.409165940592136,-42.81160622218396,2.98431380715766
2022-11-05,2830.4291291477,-2.833808381763795,-166.86595033811565,-71.8967875445531,-4.339665234927111,-221.06424114235796,-33.695868930041634,-5.7837697226012,-16.238285388714672,-0.7337999137973927,58.83111418007172,-64.37090197085203,-6.008915118930319,-7.645808637678773,-14.73576847423004,22.988146407695268,-101.17624103095554,-8.34513424634936,-62.960803559526425,-28.598646370504298,24.99058943203022,-26.76559913919371,-5.249325033238204,10.37685457903956,-53.98485752892368,-101.10566988287256,-135.05355167169006,-5.333629894302173,-98.16780851688748,-1.799210122423097,-13.953576918846853,-7.233087693656693,-107.94724814147696,-43.47701775443413,-18.903053138765273,-226.70084435435777,-89.42286509595708,-44.140445521973504,-11.855374748568941,-0.9847522153071964,3.23756297605102,-95.091615202519,1.5791417738652314,-143.18231788862983,-233.83764199861514,-0.48154980976259587,-165.36679207526203,-2.8971605997886103,-9.174229300784596,-54.68676276822333,-34.76029139487533,-4.661406795648627
2022-11-12,1642.593406055341,7.1777313932112,-53.13628815674235,-112.95322986316214,-85.91455097368978,-11.984886058270376,0.06360640808352258,-11.27072375031954,-22.746054497443723,14.957266968627327,-63.204593596646475,60.25597354389026,-20.478164164282116,1.0497121724281513,7.658768719038051,-78.71113143830041,-114.03594544849692,-35.5907600421843,-73.83522168564704,-22.288328954728286,-3.188624801555619,-42.5308965405668,-9.316604952556407,-55.26045623149878,-73.98527514281318,-99.9465935922843,-85.28583188947715,-3.5074473716916534,110.78055676824329,2.672003119093606,3.1836699589908903,12.563683128940072,-41.68559148537523,-81.27028630855712,-45.932756436224174,-72.5755256367244,-67.73047591779053,-53.17174234406088,-23.89736536384653,-104.54112407447633,-11.249798529390134,-79.02277351706732,7.114722468828056,-124.10778912038964,-199.89630055553403,11.39044674944789,12.706033627490342,-7.135650499551108,-15.785214712570877,-0.2965411305107608,-56.70691157145261,-3.12767769800445
2022-11-19,-1498.2531931092108,-26.404896336806264,-3.6449216553387487,-81.86922065858226,-187.62456502083597,-653.5045901678508,-81.86850424004217,-52.46733706598294,-8.282018183466711,-22.139133295160413,-101.07472787196377,76.41242634113468,-6.259000094278759,-19.155256512324232,-47.20611858757668,-85.8554921316844,-69.86121444620463,-25.330804816337107,-36.30824131618283,-23.308040010309583,-27.575867918102702,-74.26448800277424,-17.217387718109883,-16.068098475084497,-70.43002076098367,-105.50401481971709,-64.86417996041067,-11.367952925552766,-19.131791275119497,-2.7371692404285515,-7.621126369792481,17.767382179676623,-31.585867843637118,-84.97892281469078,-46.64727688225244,-105.84889194109553,-111.0792762340171,-112.78792603287417,-90.78428401864558,-156.00000724027257,1.4749946765948048,2.355358752100102,4.331012655264736,-66.95872765708896,8.858578058170451,19.97420250208736,84.46650362747494,0.8025596722070936,-101.85759580748419,-56.922099177698925,-39.89421900784258,-36.662313093590306
2022-11-26,-2284.776443036071,-38.57089907357103,-25.71900564838552,-224.04045611318932,-296.2290574086552,-1349.4836856943316,-90.68478652149417,-59.8946116232684,-38.41032476859431,-3.343431510455943,-240.90333231623129,76.05725301222839,-8.283245052821673,-92.38487741071633,-110.04813898254127,-358.944046785574,-287.01068751653486,-77.39095493882492,-249.4852867430124,-35.84194649403477,-95.40158243227404,-111.79630779221492,-27.070318925477522,-126.6234184276066,-173.27316419829495,-262.713060072133,-91.51118810193421,-52.31852048078892,-64.50922565193093,-10.563933434073514,-39.83653487659379,3.019364892958931,-165.6400344269694,-88.10340981913296,-94.95093738704074,-127.25082622867285,-293.35596710887876,-256.1682926991157,-250.41619668457412,-259.9328404638952,-13.134811333762007,20.023424305204486,-32.54402325863775,-243.78722726643352,-652.0648800747651,-41.652875199877755,-82.12083967788789,-17.426524710710243,-323.00272910989736,-157.931342053386,-109.88900357077013,-21.836889111733182
2022-12-03,-10811.966097061502,-17.634203346870834,-107.80327646321851,-195.26136263316295,-414.85500018644353,-1299.3722989919845,34.8611110957616,-260.85886522432713,-40.96010011352631,-49.46736529442966,-411.2015998984866,4.48759099843096,11.98362859046248,-115.395295892894,-130.43152427688247,-581.1208926795485,-549.8981710863405,-193.6843022172949,-471.9217263994553,-130.86726258880907,-261.57948046962247,-165.42224708262597,-62.93399803046027,-103.40633009668915,-176.9191648198139,-550.12875508056,-29.763567769561973,-44.358142754368885,-275.3624511617648,-36.44903087935514,-51.38942151231646,-26.019050516032262,-456.118521639306,-226.0918833764051,-286.34486120248175,-632.1329111903062,-550.8605473964155,-603.6155312889505,-303.98713622155526,-772.5343224358578,-26.056823659417216,-51.49319036296197,-35.34986074280302,-364.719884855258,-529.9877385613502,-26.810267360541662,-145.27509917243532,-14.839022800341699,-338.8872834716061,-243.89868555188605,-215.23272236396093,-52.13554559912704
2022-12-10,-3745.022735421713,-28.666361193769966,65.10713569656969,-29.476471254693365,-241.52036439442531,68.8436250996524,-91.2963580771088,-110.81504708973182,-24.246308592641007,17.6474683976476,-126.36287827873957,112.33677560332296,3.962963972801635,-94.51456744460984,-97.82418255320164,-258.71948905289025,-355.8972563757337,-95.44689191075358,-247.55103520148344,-80.10414144949124,-358.43163572438675,-76.47069322963296,-88.41835909195524,-219.17385740476033,-45.06064891283921,-357.25780927427473,83.89872696561821,-69.00556547222843,153.25271055888493,-27.9074423796746,-64.73526163043348,-41.03774984662842,-127.88591851797605,-216.52032926302735,-162.4519162493622,-304.3055591081318,-409.9029494506126,-603.7620395454619,-328.909059303167,-197.48083209347521,-38.64023231755769,81.8142278130916,-35.13013020862331,-191.04896757387894,-232.2385167424609,-4.716081121582803,7.920098736984983,-28.38242737391433,-191.7709082074839,-211.05445589735922,-103.89077124124648,-20.745083117117037
2022-12-17,-1303.4607447720664,-6.8087242464366895,73.13533984485571,53.32429164633618,59.089543133803204,467.79906063281805,-59.71301624180427,-140.9088042111188,11.693456739206773,8.834185313387437,-13.153753424974866,76.20346868385849,-4.4213653848316685,-140.631423039289,-202.57673670872916,45.62571088297443,-163.47999778874873,-43.84926684188409,123.2078526866801,85.32608844430331,-270.3924664644334,-18.729146221305115,-115.53244573927424,-480.1086701803046,44.75472682242764,-225.41719073027275,59.35929862304155,-60.86552768835236,106.4784342699208,-60.92221689993738,-92.20281223219624,-45.88569106774386,3.43876569617953,-138.22023359953317,3.0477537126766947,-404.93327645826275,-332.4172382568024,-338.9554680736458,-252.0573458991712,-117.42084965058723,-11.328055846524897,59.464632960241346,-36.4680049629192,97.97734969771807,146.36619394410218,1.9181442193398084,129.85185717785686,-30.457791966255957,-199.64120696156385,-83.27575873357023,-8.416225790424704,-8.583802710879894
2022-12-24,86.46052725447953,15.122001115642469,96.4057515475582,49.83876297316132,-18.980954153844323,315.7509819423933,-117.77369607419715,37.091321297758725,9.743673503696293,-3.1380553954881485,-259.26862954472426,-83.46777129630698,-20.08186474123383,-90.18379498644035,-74.9295372521542,47.22007259262398,-86.47645779245931,-3.0955297134759974,172.8595648308533,-9.969848139152049,-329.893167516323,13.676870821762066,-109.86270097775422,-644.7700229859608,54.58456039103399,44.494180187886286,120.99031760824383,-0.17970113228106754,131.39919233348712,-40.90441011463838,-58.31191640450088,-63.85566954942212,80.66937282153322,-88.30057132529299,-11.553741045640407,-137.3527501294891,-42.5315782631485,-220.02605975694286,29.580779942415575,-116.463218675686,-20.55914912585353,58.87349690688495,-47.57742605577248,83.76275549588752,482.46008803035033,-29.90461710044127,22.53455296292151,-39.36125821104116,181.52439382691807,-99.00317925077769,32.56104241043715,-15.084129099714637
