date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,US,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-10-22,-26.472629999999995,2.8835082,-12.602364,-7.6485369999999975,-35.654709999999994,2.4665870000000005,-2.3659230000000004,-0.54767084,-3.5705397999999997,27.213269999999994,5.531234999999995,2.8446100000000003,-0.77723105,6.831870000000002,-4.7827800000000025,-3.1524840000000003,-10.8498716,10.813824,-14.294380000000004,-0.19557579,1.0390099999999975,11.751854000000002,11.925608,-6.089971,-14.498760000000004,-1.9878900000000002,-0.38016713,-0.5093779999999999,3.3596439999999994,-1.7816983,8.942345000000003,-2.21068,0.552579999999999,-10.256183999999998,1.2076106000000002,11.731630000000003,-13.071732,-0.2433147,-4.590744000000001,-1.54639977,-13.226973999999998,-1.3773400000000002,-16.34635,-76.19524999999999,926.5735,-9.792788,-0.5107240399999999,-22.699170000000002,-25.187813,-3.5553229999999996,-7.8752341,-0.6345315
2022-10-29,-44.34773000000001,-10.19776225,-11.305164000000001,-14.935794999999999,-101.80522,-3.2902340000000017,-22.587721000000002,-2.0668045,-9.1249728,-56.100809999999996,-62.900499999999994,-3.472663,-2.6823207,-33.10715999999999,-8.838930000000005,-8.584146,0.014106999999999204,-51.546472,-39.96301,-2.81596376,-39.434020000000004,-2.971,-40.1774826,-24.936354,-22.328384,-35.058605,-3.27512732,-3.1636714999999995,7.6780100000000004,0.6550818,-18.918059999999997,-24.735447,-33.992965999999996,-49.14243999999999,1.0274123999999998,-48.093834,-19.889313,4.017875,-47.28845,1.101889,-70.2582,3.8431490000000004,-16.38785,-139.56830000000002,-954.6460000000002,-7.851758,-0.30134459999999996,-85.2104,-8.419160000000002,-32.310083,-4.0050799999999995,-2.6771352
2022-11-05,23.846220000000017,-5.7249929999999996,-56.940224,-48.00345,-153.64571999999998,-1.1332469999999972,-3.0159149999999997,-5.750143,-22.561281,63.49441999999999,30.498639999999995,-0.3100459999999998,-14.6450889,-67.08616,-17.647644,-4.841789,-19.638681,-10.008539999999996,44.26885999999999,-1.4475644,-31.791759999999996,-13.966679,-38.149702000000005,-34.206272,-78.76633000000001,-19.88427,-3.8614304,-22.161817,-13.756396,-4.0363898,-98.02218,-36.41949,-71.314674,24.50146000000001,-1.7626195,-34.52203,17.913529999999994,-23.113647999999998,-29.74503999999999,-2.04135513,-44.77483000000001,1.3790639999999996,-65.81746000000001,87.5114000000001,3222.6620000000003,4.115303000000001,1.0637379,-56.77332999999999,-4.409996,-33.203484,-15.046501,-4.2782161
2022-11-12,69.65523999999999,-0.31727799999999995,-69.25405,-51.421099999999996,-320.19183,-5.330440000000003,-19.40126,-3.7325660000000003,-5.653410000000001,-58.38952999999998,5.308429999999987,-14.455010399999999,1.4316379999999995,-98.74205,34.188350000000014,-6.380072999999999,-15.885628,-56.05878000000001,-38.0213,-5.9578489999999995,-42.83420000000001,-21.837396,-52.402794,-87.86111,-18.39742000000001,-23.916349999999994,-6.659308,3.966809999999999,-49.230205999999995,-1.4899107,-76.27799999999999,-54.263310000000004,-18.40622000000002,-65.19121999999999,-5.564674999999999,-18.19167999999999,-31.214497,-14.835120000000003,-81.48788000000002,-2.5172646,-36.739599999999996,-5.116266,44.48259999999999,196.5918999999999,714.3549999999996,-11.5696541,-1.09024057,-22.49029999999999,-47.791786,-30.475920000000002,-12.723453999999997,-5.5877748
2022-11-19,5.846939999999989,-24.77321,-171.45866,14.790189999999996,-421.5652,-30.397109999999998,-36.54405,-40.214961,11.599510000000002,-14.719150000000013,41.84263999999999,3.6299920000000014,-45.415107,-97.16946000000002,-67.98877999999999,-24.202992000000002,-13.742980000000003,-16.628359999999986,-0.9756500000000017,-7.567275,4.161210000000011,-47.858447999999996,-77.052765,-35.18548999999999,-36.88625999999999,-83.0519,-1.5267210000000002,-5.082412999999999,-58.174965,-6.2092811999999995,28.083199999999977,-10.256599999999992,-204.78769999999997,16.684630000000027,-5.9645166,-31.829200000000014,-74.35662,-65.45768699999999,12.307219999999973,2.7078257,34.16924999999998,-12.223301,69.03665000000001,-80.09179999999992,-876.6450000000004,4.307157,-0.9771723000000001,88.18200000000002,-138.54467,0.9604600000000119,-30.099133000000002,-31.629182
2022-11-26,-57.32808,-34.339493,-248.93335000000002,-167.26102,-771.2867000000001,-33.23157500000001,-67.1899,6.730217000000003,-24.71239,-201.29584,-36.30439999999999,3.3367815000000007,-102.49335500000001,-358.8843,-160.44708000000003,-69.153374,-80.27667,-189.14362,-36.592029999999994,-19.468414,-80.37477000000001,-106.80663,-126.81258,-100.27893,-13.580469999999991,-292.67611999999997,-31.441779,-31.4636,-86.83192,-1.4630136,-184.29109999999997,-11.794420000000002,-144.9851,-82.28998000000001,-10.037699,-184.459,-165.39117,-230.73575,-229.74401999999998,-9.148505,20.072190000000006,-34.778965,-150.64120000000003,-443.5123000000001,-5427.59,-26.490338,-11.4067714,-146.60295,-196.8684,-34.35378,-138.44222000000002,-3.740090000000002
2022-12-03,-169.82845,19.224900000000005,-110.33294999999998,-95.68265000000002,54.297599999999875,-5.661650000000009,-182.4071,-52.726097,-10.763275,-125.98530000000005,-122.66682,4.083316999999999,-22.434799999999996,108.94920000000002,-284.15610000000004,-109.034836,-121.32968,-193.56219999999996,-99.25075000000001,-67.339264,-107.47881999999998,-178.85098,-115.60262999999998,-60.64803999999998,-21.641629999999992,-232.90549999999996,-21.782400000000003,-45.688236,-141.2414,-22.612612,-249.86163,-164.84372,-389.04143999999997,-179.19553000000002,-26.93207,-213.88689999999997,-282.5117,-105.37036,-474.94854999999995,-11.146405,-42.26141000000001,-21.138330000000003,-211.28516000000002,-347.5078000000001,-967.7769999999982,-1.5591429999999988,-19.434915,-174.7579,-60.33416999999997,-116.88963000000001,-185.7421,-36.92048
2022-12-10,119.07114000000001,-20.699240000000003,174.50194999999997,95.62261999999998,1063.0032,-57.99773999999999,217.15734999999995,45.6105,23.437799999999996,242.11390000000006,111.31686000000002,-4.927334999999999,53.989030000000014,260.9387999999999,143.55550000000005,23.968259999999987,113.95963,254.6757,55.833770000000015,-1.648926000000003,103.30542000000003,-16.17895999999996,34.3845,118.71262000000002,58.94028,204.14840000000004,-36.878640000000004,-5.663820000000001,107.04921999999999,-35.920414,298.82259999999997,-35.527679999999975,206.1993,364.26373,3.7923550000000006,242.3212000000001,270.8215,-52.35260000000005,443.5155,-32.083725,93.40568999999999,-4.5244,209.95749999999998,407.0500000000002,4363.523000000001,-22.298650000000002,-11.902225000000001,77.95940000000002,176.04363999999998,94.28564,88.00446,22.069829999999996
2022-12-17,82.92738,18.612669999999994,180.93206999999995,41.01992999999999,218.8511000000001,10.133640000000014,5.682369999999992,49.973510000000005,11.537599999999998,-47.38850000000002,16.62392,-1.3650369999999992,-97.53528,258.1839,229.7301,-78.8123,20.07256000000001,96.84469999999999,77.75072,-59.489599999999996,51.65674000000001,10.190200000000004,-162.87976000000003,42.19553000000002,6.0083899999999915,85.71209999999996,25.90312,-31.256580000000014,104.8005,-4.745810000000006,201.03589999999997,69.85764,14.9683,68.45916999999997,-30.854156000000003,71.76279999999997,102.09607000000005,-15.474240000000009,270.7146,24.634704999999997,-27.82154,-11.902069999999995,223.08632999999998,-103.98720000000003,3752.976999999999,27.436139999999995,-5.239069999999998,48.38155999999998,-140.27844000000005,75.94439999999997,21.02260000000001,18.860965999999998
2022-12-24,-17.506619999999998,12.090828000000002,-109.17365000000001,37.889039999999994,-50.85549999999989,-89.31123,53.526369999999986,-12.841515999999999,1.700285000000001,-216.18269999999995,-31.747060000000005,-15.674757,78.9348,-162.12380000000002,-87.85050000000001,-17.08404999999999,47.00017,-78.11652000000001,-70.46437,-12.64840000000001,17.744169999999997,-56.25710000000004,6.076800000000048,29.083820000000003,46.57175000000001,107.51306,39.483574000000004,23.71262999999999,-39.922560000000004,-28.080985999999996,-41.589049999999986,-41.369399999999985,233.83889999999997,74.15350000000001,30.451804999999993,76.20403999999996,1.8450299999999515,243.02637000000004,-8.723999999999933,-16.631554,42.16900000000001,13.870320000000007,-74.22954999999999,82.52819999999997,-686.1290000000008,-26.436100000000003,-4.168391999999997,-8.368530000000021,318.8301,30.671519999999987,-6.5867000000000075,-11.053130000000003
