date,US,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
2022-10-22,-644.25,5.536585365853658,-49.0,-12.25,12.636363636363633,-23.176470588235276,14.64788732394366,6.409836065573771,-2.9238095238095236,4.555555555555555,-12.434782608695656,-0.12000000000000455,2.7368421052631575,3.8787878787878807,5.638297872340425,-2.2045454545454533,2.0697674418604635,-7.5,9.222222222222221,-42.19230769230769,12.7,-5.777777777777779,5.133333333333334,22.37837837837838,9.0,12.891304347826086,-16.48275862068965,3.3392857142857144,-0.6571428571428584,0.7619047619047619,0.2400000000000002,7.436363636363636,7.200000000000003,-0.16000000000000014,12.76595744680851,33.488888888888894,13.785714285714285,-12.045454545454547,9.05,-12.46875,1.6,-32.86363636363637,-0.9473684210526319,-28.07272727272727,-190.73469387755102,2.4857142857142858,-25.339622641509443,1.5555555555555558,8.979166666666668,21.036144578313255,3.6346153846153832,0.16923076923076907
2022-10-29,-1851.3571428571427,-7.421686746987952,-124.42268041237114,-21.866666666666667,5.652173913043477,-89.94117647058825,-2.2682926829268304,-22.203389830508474,-9.346153846153847,3.0,-123.12244897959184,-53.3846153846154,-2.148148148148148,-1.9803921568627434,7.111111111111111,-53.233333333333334,-6.944444444444443,3.25,-45.595238095238095,-69.5609756097561,10.0,-64.41935483870968,2.422535211267606,-14.0,-16.81578947368421,-11.096153846153847,-59.08064516129032,-0.5576923076923075,-71.5,0.8305084745762712,3.1282051282051277,6.777777777777778,-25.6,-21.321428571428573,5.9523809523809526,-20.13513513513513,-53.27906976744186,-30.333333333333332,10.75,-69.23809523809524,4.256410256410256,-84.83333333333333,3.7023809523809526,-14.289855072463766,-197.47058823529414,-3.4090909090909083,-103.81818181818181,1.5384615384615383,5.94736842105263,16.314285714285717,-37.35714285714286,-1.709677419354839
2022-11-05,-2609.740740740741,-7.224137931034483,-140.26315789473685,-37.032258064516114,-39.51923076923077,-182.27272727272728,-6.4411764705882355,-7.142857142857142,-25.125,-2.75,-97.93258426966293,2.2089552238805936,-0.5588235294117636,10.246376811594203,-6.1891891891891895,-45.56999999999999,-18.806451612903246,-9.368421052631579,-53.34146341463415,48.41666666666663,-5.225806451612904,-23.821917808219183,2.558139534883721,-5.441860465116278,-31.0,-19.380000000000003,-71.84210526315789,-3.210526315789474,-87.43137254901961,-1.8333333333333335,-14.0,4.739583333333333,-96.16666666666667,-37.86440677966102,-13.176470588235292,-91.33333333333331,-85.9,9.75,-14.222222222222221,-55.0,1.1304347826086953,-88.4,0.045454545454543194,-106.4193548387097,-321.57500000000005,3.6363636363636367,-113.85714285714283,2.634920634920635,-6.857142857142854,-4.352941176470587,-38.0,-4.857142857142858
2022-11-12,-1645.333333333333,-3.535211267605634,15.153846153846132,-77.32608695652172,-59.09803921568627,-423.921568627451,-29.34567901234568,-21.90909090909091,-21.66666666666667,-1.5454545454545432,-134.64150943396226,-20.205882352941188,-15.1875,0.8928571428571423,1.75177304964539,-54.19417475728156,31.571428571428584,-1.7313432835820919,-102.94594594594597,32.0,-3.0,-70.3953488372093,-2.615384615384615,-29.5,-68.41758241758242,-33.473684210526315,-17.25,-7.456521739130435,26.072727272727263,-4.659090909090909,4.600000000000001,5.596774193548388,-45.08333333333337,-84.3917525773196,-50.18518518518519,-47.625,-94.07692307692307,-25.163636363636357,-23.2,-115.16176470588235,-1.904761904761905,-19.32558139534885,-4.450704225352112,-111.6904761904762,-191.22619047619037,-3.351351351351351,-62.971014492753625,2.1159420289855078,-46.86440677966102,2.0151515151515227,-55.0,-4.954545454545454
2022-11-19,-1720.5819672131165,-22.816901408450704,88.60000000000002,-81.9090909090909,-190.64406779661016,-511.51282051282055,-59.5625,-62.4468085106383,-12.466666666666669,-39.89285714285714,-58.15384615384613,19.392857142857167,6.0,-14.51063829787234,-45.56382978723404,-131.051282051282,-80.91666666666666,-23.506024096385545,-77.12280701754389,20.617647058823565,-33.73684210526316,-46.33333333333334,-7.831460674157303,-61.62222222222222,-56.861111111111114,-84.8470588235294,9.166666666666686,-3.133333333333333,-38.644444444444446,-3.5384615384615383,-3.0,-1.0,-38.06410256410254,-61.57692307692308,-46.234375,-238.6486486486487,-85.75,-67.6875,-64.22222222222223,-106.91666666666669,3.1904761904761907,12.625,-11.968421052631578,-53.73214285714283,-154.31666666666683,12.363636363636363,76.98809523809524,0.520833333333333,-51.92391304347828,-30.37735849056604,-9.0,-33.916666666666664
2022-11-26,-6678.115789473684,-39.0,21.090909090909065,-270.5121951219512,-266.3333333333333,-1132.0,-59.29310344827586,-68.69565217391305,-23.235294117647058,19.0,-179.61538461538464,0.8666666666666742,8.678571428571427,-69.265625,-106.0,-388.56,-67.89999999999998,-87.31746031746032,-236.33333333333331,-53.67692307692309,-119.0,-132.0,-19.0,-125.5,-139.5625,-243.88888888888889,-14.399999999999977,-31.91803278688524,-64.84615384615392,-11.736842105263158,-27.4,2.75,-223.9310344827586,-22.333333333333343,-96.0909090909091,-364.2307692307692,-249.43396226415092,-228.04,-266.0833333333333,-32.38461538461536,-9.625,19.190476190476204,-29.80952380952381,-210.0769230769231,-240.4000000000001,-17.46575342465753,-122.17045454545456,-10.120000000000001,-274.82,-159.30612244897958,-57.5,-18.220338983050848
2022-12-03,-9589.21875,16.0,-106.66666666666669,-59.0,-328.0,-529.0,44.82758620689651,-273.0,-29.0,-51.42592592592592,-311.08333333333337,-65.11111111111111,9.342857142857142,-114.0,-146.5,-577.1428571428571,-394.53846153846155,-171.42857142857142,-419.0,-112.19999999999999,-234.015625,-193.22727272727272,-72.89583333333333,-154.22222222222223,-189.91666666666669,-561.0,-6.0,-49.0,-248.30769230769232,-35.096385542168676,-50.714285714285715,-23.09375,-377.4,-195.0,-229.55555555555554,-559.7111111111111,-465.1428571428572,-605.0625,-178.0,-637.25,-8.153846153846152,-34.29729729729729,-9.974358974358971,-357.45454545454544,-1080.9142857142858,2.253968253968253,-142.69333333333333,-20.939393939393938,-449.82608695652175,-229.0,-129.0,-57.94736842105263
2022-12-10,-7042.814814814814,-20.0,47.25,120.0,-207.0,225.0,-59.230769230769226,32.0,-4.0,56.0,132.0,159.46666666666664,1.3222222222222246,-113.65,-118.22222222222223,-123.0,-17.0,-110.44444444444446,-189.0,-77.9189189189189,-210.15384615384613,-110.31578947368425,-65.0,-135.77777777777777,-68.0,-246.0,7.173913043478251,-36.0,35.0,-9.117647058823529,-57.66666666666667,-42.69230769230769,-231.0,-48.0,31.0,-172.66666666666674,1.0,-542.06,-205.0,152.0,-31.26923076923077,70.52000000000001,-14.599999999999994,-9.0,-819.296875,-17.09166666666667,72.9189189189189,-21.733333333333334,-416.47727272727275,-20.0,72.0,30.0
2022-12-17,2276.5714285714275,6.0,157.0,89.0,203.0,527.0,-56.285714285714306,3.0,21.0,6.875,-75.57142857142856,65.80555555555557,0.6666666666666661,-123.0,-98.0,196.79999999999995,152.0,29.0,273.0,67.75,-81.0,55.5,-64.0,-369.55555555555554,98.0,79.0,29.65625,4.0,56.80000000000001,-42.0,-88.6923076923077,-14.5,150.0,67.0,118.0,-286.0714285714289,-24.0,40.66666666666663,-160.0,136.0,8.533333333333331,53.913793103448285,-44.74285714285714,224.4285714285714,587.333333333333,-1.032608695652172,68.69565217391306,-26.0,-82.0,-27.0,47.0,5.0
2022-12-24,1443.5714285714275,8.0,2.73333333333332,53.0,-8.0,41.84999999999991,-106.44444444444443,122.0,2.3125,-4.279069767441861,-236.0,19.320754716981128,-14.346153846153848,-97.0,80.0,159.0,60.0,49.833333333333314,199.23809523809518,12.517241379310349,-143.71428571428567,70.0,-28.0,-220.0,87.0,246.5,96.63636363636363,39.0,-3.360360360360346,-51.6829268292683,26.0,-41.33333333333333,82.0,-11.399999999999977,24.0,91.25,157.66666666666663,105.0,206.0,-25.333333333333258,-16.425531914893618,37.08823529411765,-30.700000000000003,105.23076923076923,727.030303030303,-21.857142857142854,71.48529411764707,-19.0,314.25,23.0,91.0,-5.095238095238088
