date,US,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
2022-10-22,-609.3095238095241,6.617647058823529,-42.296875,-11.5,11.357142857142854,-42.78947368421052,15.015384615384612,5.6543209876543195,-2.8191489361702122,4.311688311688312,2.5999999999999943,-3.6666666666666856,3.375,1.6923076923076916,6.101449275362318,-9.733333333333334,-2.0600000000000023,-7.243243243243244,9.195652173913043,-38.7536231884058,13.571428571428573,-15.2,4.8125,21.95238095238095,5.125,14.148936170212771,-4.333333333333329,3.3392857142857144,-12.857142857142854,2.0128205128205128,-1.0952380952380967,6.76,5.399999999999999,1.7875000000000014,13.266666666666666,46.53571428571429,13.195652173913047,-14.318181818181818,8.363636363636363,-11.416666666666671,1.625,-29.5,-1.0,-30.259999999999998,-185.97674418604652,1.6206896551724137,-30.384615384615387,1.7662337662337664,7.0588235294117645,13.013513513513512,-0.8214285714285712,0.4545454545454546
2022-10-29,-2153.0666666666666,-5.857142857142857,-123.43119266055048,-17.339285714285715,10.64,-54.0,0.25,-19.818181818181817,-9.279069767441861,1.0,-117.46341463414636,-58.77777777777776,-0.7272727272727275,-4.5,5.781818181818182,-67.04761904761905,-20.896551724137936,-1.0370370370370416,-45.14285714285714,-62.928571428571445,10.5,-61.52272727272727,2.7288135593220337,-17.26,-17.585365853658537,-10.633333333333333,-41.53846153846152,-0.5576923076923075,-114.1891891891892,2.3048780487804876,1.7333333333333325,8.176470588235293,-23.0,-18.273972602739725,6.666666666666668,-15.471698113207566,-51.96153846153846,-36.15384615384615,8.333333333333334,-61.94444444444444,4.066666666666666,-81.12903225806451,3.4444444444444446,-21.6153846153846,-184.95000000000005,-4.916666666666667,-95.56410256410257,1.6,-10.204081632653061,9.11904761904762,-40.875,-1.563829787234043
2022-11-05,-2800.0555555555557,-7.046511627906977,-116.0,-44.41666666666667,-39.47826086956522,-172.3703703703704,-7.205128205128201,-7.633333333333333,-26.525547445255476,-3.1521739130434785,-66.48275862068965,1.3333333333333144,-1.0769230769230766,5.70967741935484,-10.2,-50.548387096774206,-29.686274509803923,-9.96153846153846,-70.4,40.66666666666663,-1.2592592592592595,-25.696428571428584,3.166666666666667,-14.5,-33.64285714285715,-18.285714285714278,-57.0,-3.210526315789474,-91.9516129032258,-1.1728395061728394,-19.333333333333336,4.65625,-96.55555555555556,-35.88095238095238,-11.837837837837839,-85.66666666666669,-82.0,7.508771929824562,-18.6,-26.235294117647072,1.0499999999999998,-46.31578947368425,-0.6136363636363633,-111.19999999999999,-351.2676056338029,3.243243243243244,-104.79591836734693,2.673076923076923,-6.524999999999999,-6.092592592592592,-32.0,-4.883720930232558
2022-11-12,-1927.27027027027,-2.9275362318840603,18.714285714285722,-78.87719298245614,-49.16666666666667,-368.1162790697674,-29.44578313253012,-19.912280701754383,-20.5,-2.795454545454543,-134.77272727272725,-18.47999999999999,-13.67741935483871,-0.8260869565217384,1.3368421052631554,-56.42553191489361,-0.3846153846153868,2.1956521739130466,-90.5,25.428571428571445,-3.1666666666666714,-70.66666666666666,-2.287671232876712,-37.20454545454545,-75.56962025316456,-32.34285714285714,24.333333333333314,-7.456521739130435,-52.230769230769226,-4.551020408163265,3.9259259259259274,5.135593220338983,-80.43037974683548,-85.38028169014085,-50.06060606060606,-34.18181818181819,-104.17307692307693,-25.264705882352942,-23.38888888888889,-88.76086956521738,-1.9090909090909092,-27.82608695652175,-5.054945054945055,-109.88059701492537,-69.872340425532,-4.636363636363637,-39.913043478260875,1.9473684210526314,-53.16,4.043478260869563,-50.86666666666666,-4.776785714285714
2022-11-19,-1479.811594202898,-24.984126984126984,88.0,-73.14285714285714,-180.85714285714286,-765.2647058823529,-67.74025974025975,-58.75555555555555,-1.7999999999999972,-39.3375,-94.78947368421052,15.811764705882354,2.0886075949367076,-17.82075471698113,-44.77777777777778,-128.17857142857144,-109.8409090909091,-18.48717948717949,-71.92682926829269,21.34782608695653,-35.5,-28.0,-8.277777777777779,-62.76712328767124,-53.900000000000006,-80.42045454545456,2.5,-3.133333333333333,-24.80597014925371,-3.247524752475247,-4.5294117647058805,-1.7826086956521738,-66.73770491803279,-76.0,-49.48837209302326,-206.1290322580645,-73.83146067415731,-64.8103448275862,-62.83333333333334,-111.64285714285717,2.851851851851852,17.111111111111114,-13.047619047619047,-78.14583333333337,5.0833333333332575,0.27906976744186096,42.19230769230768,0.9545454545454546,-142.7865168539326,-25.11940298507463,-50.71428571428571,-32.99065420560748
2022-11-26,-7020.121212121212,-40.91836734693878,19.555555555555543,-196.66666666666669,-287.92,-1262.8333333333333,-60.868421052631575,-78.16,-23.636363636363633,19.0,-190.23404255319144,-2.0379746835442916,6.571428571428573,-68.17605633802816,-110.0,-407.0,-230.02083333333337,-85.14285714285714,-239.5,-43.94594594594594,-119.26190476190476,-100.53846153846155,-21.956521739130437,-122.43589743589743,-145.3846153846154,-268.6811594202899,-18.555555555555515,-31.91803278688524,-82.53333333333336,-12.403846153846152,-29.594059405940595,1.742857142857142,-233.47435897435895,-21.75,-98.91666666666666,-297.2391304347826,-269.79487179487177,-217.390625,-265.06976744186045,-272.25,-9.588235294117647,32.95238095238096,-32.110169491525426,-206.42857142857144,-628.2,-18.57142857142857,-123.21052631578948,-9.969696969696969,-299.4636363636364,-160.97435897435898,-62.0,-17.928571428571427
2022-12-03,-11276.583333333334,16.0,-103.46666666666664,-59.0,-361.0,-1975.0,12.60526315789474,-257.0,-16.75,-64.51492537313433,-300.07142857142856,-59.26984126984124,9.662162162162161,-119.08,-143.7956989247312,-285.0,-380.5714285714286,-160.0,-368.7142857142857,-97.16504854368932,-235.7659574468085,-102.0,-70.60526315789474,-130.0,-61.0,-363.0,-5.75,-49.0,-263.5142857142857,-37.11392405063291,-36.46491228070175,-23.607142857142858,-372.17647058823525,-196.625,-236.36363636363637,-632.4677419354839,-429.33333333333337,-478.7647058823529,-343.0,-664.3888888888889,-7.9,-30.0,-4.0,-210.0,-425.3809523809523,9.033333333333331,-142.8518518518519,-21.561904761904763,-188.0,-240.0,-129.0,-57.91428571428571
2022-12-10,-7046.064516129034,-20.0,94.68421052631578,120.0,-207.0,754.0,-67.46666666666667,32.0,17.0,56.0,117.0,142.43023255813955,1.3000000000000007,-113.46153846153848,-118.13333333333334,162.0,-17.0,44.0,142.0,-60.39130434782609,-179.5,32.0,-19.0,-129.25,77.66666666666669,22.0,-36.342857142857156,-36.0,190.9666666666667,-35.2,-51.14814814814815,-42.765957446808514,118.0,-48.0,31.0,-294.25,1.0,-493.3414634146341,-294.0,152.0,-31.045454545454547,78.15384615384616,-15.0,201.0,271.2857142857142,-19.43877551020408,131.0,-19.1875,51.0,-20.0,72.0,30.0
2022-12-17,2486.0,18.799999999999997,103.0344827586207,89.0,203.0,771.0,-33.65625,3.0,19.799999999999997,-4.36428571428571,-57.0,62.4065934065934,-0.0823529411764703,-123.0,-98.0,205.0,156.25,29.0,273.0,138.7179487179488,-229.1818181818182,65.0,-83.0,-327.1111111111111,119.14285714285722,84.5,99.44444444444449,4.0,68.0,-51.0,-89.25,-13.42857142857143,150.0,67.0,118.0,-291.0769230769231,-24.0,80.0,-160.0,136.0,12.291666666666657,10.428571428571416,-40.666666666666664,227.0,639.0,-2.76543209876543,123.05555555555554,-25.235294117647054,-82.0,-17.0,47.0,5.0
2022-12-24,2398.3076923076915,9.333333333333336,3.1403508771929864,53.0,-8.0,35.0,-122.27777777777777,124.0,2.0,-6.8562091503268014,-224.44444444444446,9.83076923076922,-14.014492753623188,3.0,80.0,159.0,60.0,54.66666666666663,182.39999999999998,20.866666666666674,-149.5,24.0,-28.0,-515.5,87.15384615384616,256.6,95.86274509803923,39.0,2.727272727272748,-35.55555555555556,26.0,-42.599999999999994,54.0526315789474,-12.666666666666686,24.0,239.25,158.0,99.0,250.0,-23.200000000000045,-16.52380952380952,38.90697674418604,-28.22222222222222,34.0,916.875,-25.333333333333343,65.03076923076924,-19.0,327.0,23.0,91.0,-6.0
