geo,rmse_lgbm_h0,rmse_lgbm_h1,rmse_lgbm_h2,rmse_lgbm_h3
US-AK,10.029568024249942,11.76596801573138,13.941822020672783,14.284965576872747
US-AL,46.569439536398264,51.25880035620372,50.905693763478375,63.9841564265361
US-AR,52.28040299758573,47.731492454652624,60.75408273533281,77.85621889364361
US-AZ,129.51515201062574,106.7721052501867,126.31053293702652,184.95065916493812
US-CA,302.08391860085305,300.8473420669679,418.8266873031345,457.00953068177796
US-CO,37.50668557592143,42.617181828611024,61.82243819317499,82.63199397340256
US-CT,46.45065638834254,41.08571055592479,44.98967163419343,61.040475094481536
US-DC,10.22706691884982,10.23444148471407,10.989621396965568,13.712668158126784
US-DE,11.866248210848832,10.824102401906138,13.456837692480692,15.783550187546291
US-FL,140.30168925401338,152.18991544945914,174.98574556590927,240.81189184261697
US-GA,111.44100508074648,106.4121447220916,136.71663707550067,149.85876723388083
US-HI,10.896063193121275,8.505785069090006,8.883727450212442,9.120901384017824
US-IA,45.231537862068315,44.34258306606546,50.95636964696267,50.39364434328934
US-ID,43.010699530262826,42.55071217473511,39.06077466786871,48.11855587791068
US-IL,111.33624109208803,110.91517062367316,141.65220784469565,187.64302143941046
US-IN,95.3273486388402,102.65015125246309,122.3600366372544,184.724109971877
US-KS,33.985043453006526,35.8762344431249,41.69807353098958,49.27755095099144
US-KY,94.29585446899867,76.38011555952478,94.24583200947546,115.22427442497943
US-LA,39.22756636452914,41.983664460558295,46.5700935133991,51.70700056762142
US-MA,104.45323088970363,101.40648063411412,130.09036093200362,124.76967816746122
US-MD,45.740652969541195,37.263249943624686,53.207543113459145,68.36772611053
US-ME,26.29122151545807,23.06175709232296,29.50989809699817,28.797078910534903
US-MI,143.6546474504141,132.07828974723498,155.88225508913888,200.67142144407822
US-MN,47.780509512590164,52.56105646126033,62.98081226278659,75.22351204469932
US-MO,107.8830340717609,100.78269985506216,140.6705153421501,157.24497780140288
US-MS,39.90564939067107,40.08806301135262,48.34818234143634,55.44716673004
US-MT,18.432120277869718,19.983458036273934,22.798132912845322,27.591521566917436
US-NC,102.63715500549982,94.7463199949374,120.14877477846717,163.2983897858816
US-ND,15.416159424426848,15.603825773493657,17.320532508397804,17.456990954337144
US-NE,20.59797748763855,22.885056959799652,23.581070467524654,25.777833851839606
US-NH,17.723909215855176,18.26850922937084,22.30456102271373,22.892109114788024
US-NJ,91.53534212425313,91.07079441474362,132.5340578115384,186.37306153866578
US-NM,57.73232958729869,63.183470865646136,66.69778418262796,74.95744951181986
US-NV,46.59918323182289,41.880421860529864,49.533965404099085,66.03310549407695
US-NY,162.22329277706757,158.00760215209445,226.43340982196855,269.6205817140499
US-OH,111.97151787997261,110.89780658706357,156.66750358531,191.7838830120446
US-OK,131.10383285320677,110.64336537644778,127.52157236224176,158.28398847032338
US-OR,79.76208918425156,78.20061774996594,74.49852172005359,105.7420047280014
US-PA,140.25328342863133,111.38930739400206,160.31506320859648,196.5951955601923
US-RI,8.61758309243348,10.96374974060971,9.120065269756664,11.369380112556614
US-SC,61.01432445835813,54.171115129878956,56.951144157252465,76.22053902172154
US-SD,13.42746368086678,13.352635298064055,16.135364826834554,17.663201143951927
US-TN,82.47998419546234,70.3670743868325,76.84839940454248,105.04890456465306
US-TX,199.0695757391804,168.94441295876848,214.05020070366123,298.4510617620567
US-UT,15.666880752566911,16.61666792646645,19.123138914335115,23.80747074211028
US-VA,62.682220476509066,72.11853174833244,79.25536692022538,120.96436984345173
US-VT,9.848560927801492,10.20617424312206,10.735457861660585,12.546556638710184
US-WA,89.8022857951992,76.23538608718967,81.09898232335559,93.70968098959112
US-WI,59.75654434634922,63.27276760427261,77.70240613811958,89.9523036743472
US-WV,37.97970769119452,39.5853751928539,47.11493085190894,60.319164026983266
US-WY,12.536364960868854,13.138023702540822,14.630698175746291,17.667379887970256
US,2311.444895602274,2422.9351044820237,2621.8289280318827,3835.9606437155426
PR,24.567488689361284,26.70734922426077,24.946834800678047,26.23296677620221
