geo,rmse_lgbm_h0,rmse_lgbm_h1,rmse_lgbm_h2,rmse_lgbm_h3
US-AK,10.182886084479618,12.615493944037311,14.508516366563313,15.610278182554433
US-AL,45.057905180339894,49.12103767813517,55.15587706860407,62.4216486038564
US-AR,57.21605777333958,51.10337809834369,66.15829384455803,81.86700416467929
US-AZ,130.5256369909507,147.89643914736652,174.71396574790188,206.1786670882448
US-CA,301.2142784875639,331.6483902199183,354.1035775577566,504.88327295870243
US-CO,40.11831047253856,51.70243768416476,60.17455594578831,85.63847228980222
US-CT,48.646419711298705,48.39474457271909,54.580715142370536,72.53509784146975
US-DC,11.892279793495787,11.767467942096147,12.002999072647329,13.112974455134923
US-DE,12.47991966862587,12.840224417194701,14.989106522261379,16.51900362897504
US-FL,154.07183525163003,136.08090844715812,142.51463234275604,223.9659359696672
US-GA,110.11013145276807,108.94546469290286,103.19279694340952,121.38014730263104
US-HI,9.55578882525487,8.60535591491801,11.111991582470152,11.07295346031503
US-IA,41.19542384900651,44.09802136265048,57.27463930028566,54.084833140599414
US-ID,42.65615716726095,42.091535273336234,45.015633988231826,47.93876807859254
US-IL,109.78313741116852,115.2304418894617,131.1474918517609,191.40945572331222
US-IN,102.66311955320846,121.92873784769519,125.89625969384583,162.58216187936458
US-KS,36.584098204611735,46.35145670831379,52.58799706090604,56.96615919320409
US-KY,90.62306142083501,88.13628466352604,93.6491826962153,108.58335019594647
US-LA,42.26317295276716,46.81512828437692,52.05032417767273,50.94044456917256
US-MA,98.32330068314536,108.34172431798584,124.86283853252432,152.03231887748655
US-MD,41.520392150280955,39.6805601386389,56.16006150848305,69.2703631884574
US-ME,29.96055327951965,32.65472911249024,35.59159698417065,33.362068377664016
US-MI,142.20284596408857,153.09295266102816,185.82446888730615,218.00640806853673
US-MN,43.69495038909022,57.48393989065127,69.11772845113362,80.01204327785989
US-MO,105.93189260367957,114.74775757822151,146.3847501016926,152.95984147714805
US-MS,43.386497831451024,36.88900950878831,46.878186593797345,61.810829827109856
US-MT,21.953464207844394,23.655949192394765,27.72078835246628,29.483647687014226
US-NC,102.93493882881069,114.7011281591872,130.5964156480513,163.59457443314653
US-ND,17.05980605165345,17.327631462790478,21.99601181586949,21.59796835928224
US-NE,23.219125173009225,26.724741832957875,26.19631954635835,27.772752803230503
US-NH,21.832508818452588,22.008704641497083,24.482607064077268,26.93915891665008
US-NJ,87.28323380908567,97.39373724202892,141.06159254307326,168.7476950837942
US-NM,59.486056331456176,59.834897882804725,64.7291630410005,78.06012497041662
US-NV,50.614248868164886,45.99465880242009,50.55197038828554,67.1021909583506
US-NY,171.56514261404226,188.64302000986655,212.34666271849224,329.3780120565283
US-OH,126.22423219906773,115.21931755933343,172.7538862467192,205.42809120416962
US-OK,139.82694031791087,130.83299147534342,140.38464478402858,164.96441949943264
US-OR,81.22915677665499,67.81106459053163,78.98937234004718,95.34207838931879
US-PA,147.73604758039227,126.22687108273628,153.52411827307043,225.33406847590854
US-RI,9.972463192502937,10.850823898733617,11.417323238701432,11.82161517879937
US-SC,66.78939429659857,66.469757747444,58.38819260726653,69.95069306748242
US-SD,13.61534926368899,16.73961904908826,17.780377310320258,18.911465138152742
US-TN,82.4709100247428,73.99754689445687,91.66027745712762,90.87793246172355
US-TX,190.24418731393874,200.3060232364383,257.2210360211049,320.55352997696923
US-UT,15.640870799270669,19.6348449750195,24.575257017597227,24.44697870508249
US-VA,77.14766744139784,78.0878012252643,85.20067561074156,105.78263464778966
US-VT,10.96120775971858,10.844022597535027,11.539000475620373,13.237400164347163
US-WA,84.9234446699047,69.93963211656828,85.7375937307828,104.33446458255341
US-WI,59.152261747831936,66.99979068941663,80.86436397548128,85.36998612623312
US-WV,40.49968521792925,41.501332519013246,49.908943498903426,61.83931689407077
US-WY,12.17932790634402,13.373444263338582,15.855468674656333,17.240340398714732
US,2850.2042624350897,2508.116327334727,2808.036258266607,4875.84415779423
PR,26.296847389091557,25.630432739033008,28.229751334829142,34.24165506683382
