geo,rmse_adaboost_h0,rmse_adaboost_h1,rmse_adaboost_h2,rmse_adaboost_h3
US-AK,8.493844504171545,9.338169011884851,10.268760271514633,10.501637121085478
US-AL,38.418745535972306,46.23654133952664,51.9055750432036,68.46807748953447
US-AR,37.918209604355525,37.61161441805969,56.19540487475074,87.9498897119095
US-AZ,136.6496444264153,184.24853020997736,217.09461828624407,232.0632037064908
US-CA,307.0385001417846,275.74624588538444,516.7830832655096,526.0333751119692
US-CO,37.63481932344696,44.87561260735009,62.753979016154545,80.85223542732763
US-CT,46.8622992855617,39.309292182396774,58.62960566075951,83.51101862520713
US-DC,10.09223173870247,10.119048212196594,12.264095592009532,13.147673718976895
US-DE,10.762617721105594,11.713889738799136,12.128715552200376,14.403395426925293
US-FL,123.75209174259425,146.14609874852502,154.4975241612331,283.5515332318246
US-GA,78.52109940116087,82.89122537029561,71.78963191483233,106.09175678292415
US-HI,6.374752763574275,6.208544819259424,6.620036629156463,6.869895448755246
US-IA,34.592580348332284,41.678868989409686,62.68382712195799,52.921825583142656
US-ID,31.14587730747669,40.77741834210012,56.764258957782,59.29357391274121
US-IL,100.23109396359771,138.38111396641273,171.7249207204405,196.97519520646344
US-IN,92.46899968307245,108.76765195018247,138.11917559488114,167.15885549164398
US-KS,33.22450347026514,30.79883444591017,46.56399957424738,57.44363523527767
US-KY,74.31802860588759,62.6743151135741,112.83366504457213,124.78870589995324
US-LA,35.051768100086335,46.48248688846339,51.378238413869006,53.87840925200169
US-MA,94.15100668005886,127.66770595306897,144.79547925270086,165.03752741204804
US-MD,42.16030595108975,49.10807932140346,49.53434145020085,68.45199094817349
US-ME,20.337231336260217,19.837651161834668,28.656839413455046,36.21820109790364
US-MI,132.00640889861864,160.72907691127514,204.20744845647138,248.11289263661655
US-MN,40.592815184349114,45.10316143982609,51.54751283570604,69.00982304666672
US-MO,93.33197282210826,81.91039813744936,155.49444313979438,178.16237288602568
US-MS,29.01082339885239,41.46326415477589,57.5389197191247,61.465056721713566
US-MT,17.83722578427262,20.624837864993847,30.71548042170825,30.514686400762173
US-NC,83.59001860549931,88.50141077883028,79.3999813841446,112.93677652504219
US-ND,13.63631714496367,17.55904234067226,19.327108259564575,19.516758667864746
US-NE,19.32166177176248,24.69644892413555,25.43075262878066,28.960775210217836
US-NH,14.229086239158782,14.53121459429431,16.995192616407323,19.124470367987186
US-NJ,81.04207699368688,86.82082108522009,90.48583409931388,163.23255361057323
US-NM,46.29349031857611,47.086863358952435,52.79730755725576,88.07917842547211
US-NV,37.73341113646086,58.88946806114469,61.53517301297914,72.3173401366051
US-NY,145.94342181801017,161.19672462718415,233.00527354077892,291.9086491061457
US-OH,112.35018591557444,133.66941831411518,184.14719811634563,219.79776307803587
US-OK,125.159089171299,136.54811491270127,126.11985199100546,187.21794360858948
US-OR,74.31435752013599,56.5535617886723,108.88930982114822,117.46683733170907
US-PA,110.40977013936711,149.5073281734344,156.05325200202535,233.2748113107446
US-RI,7.605399821007706,7.622486457958002,8.578239419448794,10.12027080911534
US-SC,54.69063122384014,56.58484185122236,58.20451334641624,87.95554857777704
US-SD,11.846838239624184,15.291379433038452,16.93029342929462,17.539514901389815
US-TN,75.47393278615667,60.12967407663618,103.65702861853472,118.95844180364844
US-TX,218.3679972773265,154.06646629276403,199.77033456445804,317.4043783047138
US-UT,10.764361821109159,13.49636049348452,15.248226190322512,16.53630544046373
US-VA,62.255895086551455,56.961148138354375,78.44280661661061,98.36188510733076
US-VT,8.759363647359196,9.143649571224405,12.590101674486792,13.742747693697465
US-WA,77.66430148130699,72.45161838987464,114.67046964147008,145.3538978031984
US-WI,55.512857807868066,69.56049801801223,86.49642728533176,100.44344844748761
US-WV,34.70613965353056,35.064708794005064,52.93560734697676,62.78699727054469
US-WY,13.809402991080221,14.825135612345795,15.219486028808713,17.98193967811754
US,2534.6738624913683,1779.9729326796876,2593.982426502337,4394.358105306429
PR,19.647369128617076,21.079856050778297,24.61418602288159,25.758488326420927
