geo,rmse_adaboost_h0,rmse_adaboost_h1,rmse_adaboost_h2,rmse_adaboost_h3
US-AK,8.345920966405137,10.83727915966611,12.222968030861674,12.217730133766894
US-AL,41.74359015963895,48.85499169544526,64.35488135561668,77.61321492490298
US-AR,45.29966207547836,54.00130256779004,63.93529551811478,73.08204182853297
US-AZ,120.62940496923407,159.18747624046358,202.39173348847905,216.54827018461611
US-CA,230.3172613244522,374.09287786739,351.3171234010273,531.1733073252008
US-CO,35.4633653603677,45.274194039160946,63.852790793522686,76.60320916800976
US-CT,43.18632074733223,39.40334699363772,44.64851069168799,73.2246014593754
US-DC,9.2755910368071,9.961001948373832,13.021325654706622,13.19202980855998
US-DE,12.533000198742537,10.176635996255195,9.789657391901466,12.021318140528265
US-FL,115.25335997266345,132.97120993014732,145.13349695981105,148.12324879644376
US-GA,70.97301837058937,95.80485757505916,136.021431097483,147.66592787169466
US-HI,6.48034935936825,6.500110868581003,7.567980041132526,7.417408560329258
US-IA,36.67400173164191,54.08971631702222,55.6771016369898,52.459928917580555
US-ID,36.30266117807575,33.48091548166706,53.4333529269215,56.08019998728904
US-IL,97.70149557110385,124.01187207157179,171.62728315600444,228.52044786317833
US-IN,69.58886856813247,77.9224939333964,109.93220497713233,126.6680739049177
US-KS,33.614382847269596,36.95434798929268,38.03687075099782,43.38591371890936
US-KY,80.75573728191702,76.50448424423365,117.812126556277,123.6942129590168
US-LA,36.13348471820209,39.55314002330305,48.408042645111586,51.28680864399689
US-MA,68.10468750271488,86.48138375509679,105.89368218162893,145.67351325244232
US-MD,43.84436805795406,45.90659926361856,48.37641227915241,69.90282473675256
US-ME,19.47176470664811,27.641573036735394,39.04447388277324,41.28114366816407
US-MI,109.59542140301652,138.13727129073837,197.9388026125859,212.56723269366455
US-MN,40.57823849935158,41.456454258524126,53.27871509985668,56.99551117084551
US-MO,98.868865386644,79.22329393531867,139.20677280748728,136.86723843191763
US-MS,26.807656919144456,39.3876634514781,42.56584427027251,58.22318512463811
US-MT,16.261061646402776,21.106119592938285,21.84298818264855,28.91133659533757
US-NC,81.66946009445108,76.85573452194456,97.02786578761312,145.16331633400864
US-ND,12.109361093507907,15.29296672531041,16.49266387959019,16.112946419681276
US-NE,17.852447184263443,21.824194100705746,25.480415392489014,27.726835874107568
US-NH,14.575338795586726,11.276552198110629,19.325829469770973,20.97495009770513
US-NJ,82.44612324902467,91.39395114271724,109.55874823895863,167.80537056620219
US-NM,37.530176650894035,37.99134142734683,44.12248173405425,88.90728127394591
US-NV,36.358987000766994,52.27402043201969,70.64267460276214,75.66621728879635
US-NY,144.21075146832555,125.79053609155997,179.33325938770187,268.46438040829264
US-OH,101.5075835001019,141.22007433759603,183.76266338716255,227.18982115900468
US-OK,109.32169800451544,160.38196933500842,177.11711406773708,194.48319214028294
US-OR,69.52579104713465,57.45813263073032,111.09437123535811,131.13888644208717
US-PA,112.38068939524454,98.41266658398114,121.38327924966144,210.02958750590818
US-RI,7.639323409022651,7.694930589194147,8.84081937281901,11.286503001020407
US-SC,52.05547678295825,63.17680327244056,81.88320023571144,79.9961578180228
US-SD,12.633758836537101,14.005776297154785,18.10910459258547,19.032264381427435
US-TN,64.07289591099982,63.53485475290186,77.83850965463488,115.58655303597246
US-TX,225.82835535479737,150.09730213113116,174.7115178668185,311.66278975135083
US-UT,11.240722050095531,15.275750991747692,16.601158667060343,17.51936670199989
US-VA,63.59411573296941,69.69924618879148,77.53496609727752,85.46022032744672
US-VT,8.844583260772358,8.849741342030855,12.751825040427343,15.517469377011668
US-WA,90.46987283180893,68.95986770683244,61.264713805524536,84.11832395595619
US-WI,49.32487928818783,52.82710125855371,84.9191330012141,99.86139724755441
US-WV,30.35172793914821,27.913556237735254,48.697835203277705,57.719914340391966
US-WY,13.783459074120287,13.97850307443875,16.19161991249549,19.82188935890238
US,2216.637566113488,2234.610226095261,2598.053094467884,4971.298694390185
PR,21.762763529728982,21.61327303280866,27.412179179603957,29.775543317684622
