"geo","rmse_argo_h0","rmse_argo_h1","rmse_argo_h2","rmse_argo_h3"
"Alaska",14.321040795865,15.225236158093,15.8806080659606,16.5477569121596
"Alabama",58.7802984004131,64.3300077310994,79.5867425866773,89.8769058414351
"Arkansas",68.7944300019965,75.7882646502439,92.726986864836,103.594516507411
"Arizona",185.74339077314,217.047245224331,248.529532491475,274.36131439898
"California",365.37607386561,461.473775843181,583.833807575516,661.12392759164
"Colorado",60.9388291909691,66.2179125828495,77.740053837739,88.0676344154673
"Connecticut",60.7822498802042,76.1114397434906,93.3934246794733,100.592185785675
"District.of.Columbia",14.7655521567492,15.9585121949063,16.8816336170748,17.2779658509322
"Delaware",15.9909251051979,16.9354619851701,17.476657042805,17.7384220776529
"Florida",205.42694142394,199.237333215951,228.647524756545,267.187886081468
"Georgia",152.403012429611,170.944090455065,185.094479440914,192.994749044376
"Hawaii",9.20850577977389,9.43869935349502,9.78377065143057,10.1060557467625
"Iowa",57.7746115323635,65.3388209870475,75.5212849670113,81.24520058584
"Idaho",50.9011218892261,56.5339694045189,62.6004032740155,65.0357018506307
"Illinois",139.461871619028,182.86718932043,211.42274570784,243.712623047854
"Indiana",111.006300455416,137.906938980716,178.960957057916,198.991171695012
"Kansas",49.1416396562744,53.6660643199438,63.7300556112996,67.8069005280319
"Kentucky",99.7264837307853,109.300626486615,139.972009643016,163.881407286164
"Louisiana",54.1688636949382,55.3254777152401,66.0112050125988,76.1362252524543
"Massachusetts",126.293031911439,151.221473064492,186.300496595111,207.01888353655
"Maryland",64.226026707924,69.2852629959902,80.6812065583894,91.9245824238456
"Maine",31.843250115123,38.4834716581734,44.3307750776543,46.0322933920477
"Michigan",178.578050356516,215.697645872537,271.681428563605,297.65549318153
"Minnesota",60.879844600907,77.0849246585211,91.1877711949885,98.248668283408
"Missouri",126.925157726962,154.090821469534,188.754244331782,209.95926286691
"Mississippi",50.1288080742497,53.6822603438448,66.4040225463056,75.7775138314563
"Montana",26.0616271747861,29.5875608726073,32.5173279530464,34.6034180725474
"North.Carolina",117.108572653641,128.62134321929,158.653598539449,180.330146399928
"North.Dakota",17.2037807877302,18.2642353668929,19.7272605524919,20.7978445814076
"Nebraska",25.6538833970239,28.4927713254575,31.6911638257773,34.9196573457099
"New.Hampshire",22.03381416748,24.0432091466416,27.1008031918063,28.7851112903315
"New.Jersey",133.329447559705,151.124803754633,183.076755114397,211.860952646006
"New.Mexico",66.8489107046273,79.7703866598015,93.1731277322743,101.275682357554
"Nevada",57.5899700504481,67.4570213081895,77.1683703134079,81.8293821372832
"New.York",233.978898414416,285.622897528147,375.21913077689,452.738210432067
"Ohio",148.10397744719,179.16269337874,231.699942108357,270.260123374852
"Oklahoma",132.968889556577,146.003663161047,181.496931762603,205.854344873266
"Oregon",98.7549445252912,114.469847166698,139.340274025371,150.407716371919
"Pennsylvania",173.874904681644,212.900943508274,268.45943050201,306.236304236135
"Rhode.Island",12.7661153649381,13.6100402829286,14.9221431392982,15.8656874705642
"South.Carolina",71.8415432678131,77.2298884377124,96.5482959010339,108.159575442505
"South.Dakota",19.4475130764724,20.9048713113357,22.6183011572271,23.2407875899126
"Tennessee",93.786854227182,94.8168696826095,122.451512563444,137.921803137701
"Texas",299.785338819845,306.0387187649,373.734836284013,453.31815014574
"Utah",16.234220915254,16.92546348916,18.3943260824132,20.2812088895435
"Virginia",96.2608018810111,100.970034494635,119.313942186454,134.398851532377
"Vermont",14.7277113661676,15.8174018749426,16.3355245459994,16.9222626253413
"Washington",91.2173282021956,111.833694388621,149.20171994739,160.270480359917
"Wisconsin",81.9294466672969,98.5693399139043,125.481198859886,133.98747043907
"West.Virginia",50.43223427795,51.2358189105887,60.1558191775827,67.2717551621169
"Wyoming",18.7101747183471,19.9733965476916,20.7815351923345,21.4776384543622
"Puerto.Rico",27.0439138716178,29.3787567246154,32.5891107165005,35.183274513255
"US",3723.48839793854,4245.77951893876,5257.5854101645,6191.14005092825
