geo,rmse_adaboost_h0,rmse_adaboost_h1,rmse_adaboost_h2,rmse_adaboost_h3
US-AK,8.770517877434662,10.677050054521157,11.649589319554998,12.700709810051375
US-AL,37.08433796001713,34.777044232751685,44.215151247688716,61.465804917302776
US-AR,46.78362608670543,47.7342645344532,73.68981380166258,83.393313668932
US-AZ,122.33185031481574,167.32362276589464,193.92399444496647,231.95680271626293
US-CA,312.7598365256338,248.45954831307188,271.2511948325419,357.3464973128281
US-CO,36.19570331436357,38.12515464510392,60.720182950859076,70.62374346828663
US-CT,46.02006901889371,50.10074450163629,64.11955406578771,74.02463075175999
US-DC,8.5780941636304,10.650956173109517,12.11136590603739,11.785732305648402
US-DE,10.62356527887771,10.510980258331061,12.879318896570716,14.048681511155538
US-FL,121.33949295236567,155.25401349255682,180.98363582946357,239.92914911658102
US-GA,72.14816919880892,67.3876697841041,61.02884249125743,102.2136965882016
US-HI,6.020225366640479,6.093899810792503,6.183040532379167,5.97638940906615
US-IA,37.554678311274394,44.49484213390909,64.08661707019724,70.13696743707699
US-ID,29.16182055757417,49.32064402995705,58.511787323421146,60.85902368330405
US-IL,81.91657930922035,75.22946086813775,94.42925703993593,139.3094803886172
US-IN,70.27218414271898,66.2413530567587,123.04954912558405,164.20441810852705
US-KS,31.763813099538943,37.27944072807581,45.01821583858108,52.92727351184119
US-KY,81.75430435218664,44.73373835297917,62.72307493139985,126.1259008641058
US-LA,39.27450338287902,34.84768192809323,41.584626866402935,48.67850793569161
US-MA,81.06726117775817,90.147031380881,138.95046617273923,156.47132027586784
US-MD,44.03551454955233,39.60141591780566,41.0538758944594,48.24009219650041
US-ME,19.21409695340514,21.24865284701779,29.30674102135486,35.8436731688289
US-MI,114.58984140987371,127.75519583118523,163.3338177691597,204.45981681777897
US-MN,38.808305802568114,43.96101326608713,51.35826453116461,57.74446947294377
US-MO,86.3863065369422,80.72166074891665,94.67063299676651,143.0571831261214
US-MS,28.66923215514727,33.64264469190695,41.3854026015459,55.91285692089385
US-MT,17.125314171214434,24.82938539794147,31.40589226655611,33.92467264944785
US-NC,92.67195915518784,73.75123374110905,88.1675405634279,123.15593431436305
US-ND,13.249796369704965,17.45707571197227,19.198486039802876,20.320188299723643
US-NE,18.359918939891603,21.641394966923464,22.645260414860743,27.022217677413845
US-NH,12.836186680014947,14.606155760122371,17.311186653623995,20.52438258103852
US-NJ,79.16629607898537,71.1247430520075,71.70143962107244,135.81089327180678
US-NM,48.405318746452565,40.7527299922525,74.8612478276999,88.3573884971662
US-NV,40.02631093130051,47.01733179596385,63.36293596441242,69.48281098854173
US-NY,124.43758248207466,112.66064974206014,157.11050628312304,252.25289944718972
US-OH,100.63041559484914,108.09140574063925,157.1828244194238,216.99583234236775
US-OK,120.11000520942086,153.66590223591191,169.28950499826053,183.59102076657663
US-OR,72.84795067018432,56.717104671896195,88.11206887977065,127.9067254507149
US-PA,113.34600272249344,81.24645324513767,106.82425251064765,192.822119376074
US-RI,7.889905473246577,7.567763868278729,9.09430048597192,10.921816905273579
US-SC,54.63417758131119,45.32286572992685,48.29209826902105,83.92360199771062
US-SD,11.8698900486305,16.691253459942367,17.72772989334881,18.09277335431675
US-TN,61.22789240116726,72.14861961720709,92.88601114825163,106.43616005163774
US-TX,182.22445989214188,138.9396699736268,182.5846440340917,276.88860166860997
US-UT,11.128036960482413,13.043548468732805,15.879978359757086,17.21964315356452
US-VA,63.38661767868373,69.23050932550952,70.10050999722672,84.31310105675018
US-VT,8.513617658568702,9.01955573376075,12.195147352173025,13.921659564926369
US-WA,57.24051638034184,52.631161626727554,83.60488639649445,108.55132261891967
US-WI,49.74518555826451,58.11898569790437,74.13893346249714,87.83456761006539
US-WV,33.479384714964496,35.218465511771875,58.42916135165274,62.113801832092236
US-WY,13.035897435868225,15.527826526256359,17.43998098960509,19.86199107958003
US,2503.5978928967725,1669.1348529575475,1928.9445657531735,3901.3781448264467
PR,18.855318338161588,20.95514913064943,23.116202880316504,24.958831966319586
