"geo","rmse_argo_h0","rmse_argo_h1","rmse_argo_h2","rmse_argo_h3"
"Alaska",11.0630737220677,13.408637080545,15.087667854298,17.0640048800135
"Alabama",32.8178309804383,45.5096240437368,66.8632504389887,76.0407609386377
"Arkansas",41.025606138429,56.8706057964071,78.963799859601,96.8516134508316
"Arizona",109.256048550379,166.593235092167,215.109014216109,262.844448185276
"California",258.584046763428,408.742548555493,625.361192962174,764.9820519554
"Colorado",35.1139739332022,43.6706864114229,59.3473137747424,78.7110469634829
"Connecticut",47.2273830764116,61.0074338698853,90.6265875837106,107.953336436764
"District.of.Columbia",12.0117283001617,15.5031432931846,16.594697724036,18.5176488203233
"Delaware",14.3615520306699,15.631600515924,16.7650380297503,16.8671702390688
"Florida",132.632705344662,151.507316988003,195.950330723076,235.25557153338
"Georgia",80.428041498238,126.439974751685,168.338171922091,194.747249964532
"Hawaii",7.56907247047763,8.03831686420109,9.02964740928526,9.53821419571566
"Iowa",33.9934488788521,53.5042825369784,72.5363381106703,97.8816630246085
"Idaho",36.5267284259804,50.2077471891008,66.9925982126686,76.8531588208468
"Illinois",99.679988006558,150.421147710337,217.778738825995,264.471542951931
"Indiana",75.8414949124093,139.894393922931,165.83556348475,211.08535397345
"Kansas",32.0310172547834,45.8410774379989,57.9511331626116,65.1701253382999
"Kentucky",66.0528327964807,101.039269421365,137.654656915552,177.10042755258
"Louisiana",37.8690528857836,42.2303406128504,60.5741547871927,76.7091113311374
"Massachusetts",79.5502155400666,111.379277293723,158.98200870202,203.637295987946
"Maryland",35.9784598678378,51.8462663862954,71.1736185678823,93.6887046476357
"Maine",21.1924062433716,33.3856216072369,46.1870696803177,57.9076099952566
"Michigan",95.8314988660123,150.584639026859,254.321471630023,325.529755920672
"Minnesota",40.4213009903449,61.2684318418243,88.3974345850796,105.689217582687
"Missouri",73.6993475505214,125.098896464642,172.672169438752,212.72150523506
"Mississippi",29.007383505387,42.970271479348,57.6407006638587,77.3524435478896
"Montana",16.3482687859584,23.2181619215156,28.5137373301309,34.8660026206092
"North.Carolina",78.0387449578014,103.579770144896,146.134911581466,182.196356635841
"North.Dakota",13.3822322614129,15.4958314626917,16.9594629528337,18.5027782564704
"Nebraska",17.1688525120712,24.5906847299421,30.5088406390008,39.9341337116162
"New.Hampshire",17.3633850373742,22.7109715994126,28.9383876180834,34.9670912149195
"New.Jersey",83.5078222403244,109.816000642683,166.306306961206,209.377273071028
"New.Mexico",46.2322512755439,65.1542889438479,92.7469471669796,114.843501370595
"Nevada",43.8950627350017,64.700696522777,79.5706783095943,92.2541624242452
"New.York",120.618856342989,199.354808215132,339.945397027909,471.968950773943
"Ohio",93.7360170127661,133.593286091362,197.081587676351,269.333114403711
"Oklahoma",87.563004428756,133.138406041644,168.223408626311,207.853423206605
"Oregon",49.3956539228594,86.0246476169659,138.468128742727,202.378376180195
"Pennsylvania",109.819966816299,164.022604063196,234.699424804683,307.624350872617
"Rhode.Island",9.60807151996627,11.6981883276529,14.9725804531194,16.4096633976471
"South.Carolina",42.7705636258432,66.5014682610409,89.8777043185503,109.74626130454
"South.Dakota",15.7170479470311,19.9431129716499,22.7208916597248,26.6983138911622
"Tennessee",72.3664107838266,87.4043539656218,110.686590965169,143.636883595238
"Texas",165.678552850781,227.95478944329,308.251832085686,388.222527327975
"Utah",10.4439943422375,13.5999835912928,17.3252940312903,20.6805137140361
"Virginia",62.7824184071009,81.457252281373,102.313290571762,123.354027730954
"Vermont",9.67092971644436,14.0974287701946,17.889446231185,21.2857594395832
"Washington",61.9823112705099,95.4957134195846,140.910480937153,203.585165360254
"Wisconsin",49.5872075200186,76.0493149233975,108.057119368815,138.7469332274
"West.Virginia",28.0542762623748,39.671688322638,50.9614443820151,62.2439516470373
"Wyoming",14.4453724568601,16.9584491503294,17.9559862721683,19.5330891148219
"Puerto.Rico",22.3209173855997,25.3271178500455,30.6091255611755,34.7627665043099
"US",1988.89850438358,2898.3991293903,4566.35955392417,6068.808046758
