"geo","rmse_argo_h0","rmse_argo_h1","rmse_argo_h2","rmse_argo_h3"
"Alaska",9.47132218720054,12.4408884967731,14.5523925532139,16.6333240061442
"Alabama",37.5188558639806,54.7752395628489,66.4271493014749,76.2532405601205
"Arkansas",34.3306836276652,57.7691138686941,78.9570681299692,97.0482225133007
"Arizona",104.262819705962,163.305657537215,206.833799453535,243.747194208787
"California",206.641299444773,417.644464893955,548.628582643744,659.609003237922
"Colorado",37.9974325379584,50.7080761956072,66.7813161243855,80.329700334159
"Connecticut",49.9063534222131,69.6008775210959,84.1678751853448,97.3543083102331
"District.of.Columbia",12.0639770959475,13.7541298100443,16.2907379683165,18.4124054396622
"Delaware",15.2225485969339,16.1192133093091,16.6225404539915,16.8187453784723
"Florida",111.39670259278,155.989250510665,205.641307626361,247.636915775692
"Georgia",93.4963816031563,142.411715795608,163.030453048398,191.998426300271
"Hawaii",7.22538419659907,7.90721827397935,8.62779595577045,9.305852787024
"Iowa",34.8712705983084,51.4635468341897,71.6514166067046,86.5723925573807
"Idaho",36.9811386359126,43.7757770068525,59.8781593151222,70.7879814833184
"Illinois",109.134042198072,167.717898470593,221.896004989975,249.441181281297
"Indiana",86.1081891229403,128.180330757848,168.604335691173,195.827374199386
"Kansas",36.2042052663595,49.5347379253703,59.9096304861753,69.045958452042
"Kentucky",67.0653444128372,111.069698669076,157.730070948249,183.956961231717
"Louisiana",34.473826684255,51.765225510276,63.1705480333914,68.2629053684522
"Massachusetts",75.634055073017,118.006399203899,165.391386273157,197.373662673342
"Maryland",36.6337553284261,53.5495310429115,67.5791488411677,84.8910394589584
"Maine",21.7139007079911,32.1873195995951,43.7143524859815,52.2187058220864
"Michigan",94.8863674916275,185.078882233157,254.382862569591,289.722743242248
"Minnesota",39.1675910620457,57.9821149916646,75.3161398282399,89.7527346965686
"Missouri",99.0435798501413,135.516897013133,172.859340092975,202.762124001841
"Mississippi",30.1594372998321,45.1381888104771,57.8584175395761,70.897157192213
"Montana",17.3927474482441,22.250511327448,26.5550309797471,31.2897752429585
"North.Carolina",75.427100331316,132.697452375435,162.924932172912,183.047393745869
"North.Dakota",13.9289840060442,15.4250311669074,17.5557734765944,18.8738577115083
"Nebraska",16.101171531154,22.6404726689085,29.3380176772283,36.0086733353775
"New.Hampshire",17.117195695262,24.1241188399162,29.8547497961527,33.7735880223215
"New.Jersey",81.2859302843114,125.158964199956,168.629044120524,198.868262983132
"New.Mexico",38.8443709976651,56.8609138171455,77.8946118319698,97.5472460209641
"Nevada",41.2881011746777,58.1990171283356,76.3641268322711,87.7984232467491
"New.York",123.59044973694,236.736175554275,350.970066629609,434.273223372681
"Ohio",95.631491676038,135.876717380118,199.210473996885,249.410329552693
"Oklahoma",95.1617562315672,146.197911918573,183.989895535998,219.544983503885
"Oregon",67.6330380817974,107.587355103274,145.003461718061,171.144549228178
"Pennsylvania",131.588676237107,177.967306434644,223.886791446797,259.649079209586
"Rhode.Island",8.95000772622987,11.0389324633402,13.4497163698796,14.8581611529123
"South.Carolina",45.0693438068423,71.6405117006224,91.8429853078771,107.774992695012
"South.Dakota",15.1958909525175,19.2702356481679,22.9682753115988,26.0934081979519
"Tennessee",67.4290979375565,106.61731323168,117.506208250589,138.292514105714
"Texas",152.458900250835,228.600855897281,308.825249070401,392.884800501077
"Utah",13.3925992480652,16.4395840341418,18.7277479706255,20.4869411474151
"Virginia",58.703856563962,82.7326663911359,103.215911313534,123.220643966177
"Vermont",8.08812862926669,12.78371568192,16.1199814662145,18.7802677799579
"Washington",74.4958492169169,116.279574043464,164.617598855119,198.977984785172
"Wisconsin",60.1580122061158,85.5357067784417,111.666800538504,136.460006420235
"West.Virginia",29.5264078679992,40.1951731300455,51.9021717510658,60.9906871168498
"Wyoming",14.1493014366695,16.3408917119154,17.8436355600345,19.200602141967
"US",1709.54409046475,2853.69017256922,4856.17595193502,7146.75777029436
