geo,rmse_lgbm_h0,rmse_lgbm_h1,rmse_lgbm_h2,rmse_lgbm_h3
US-AK,11.174969206878378,13.808845104027883,14.233454776775494,14.45138307659069
US-AL,43.52111588376516,54.44438578337421,63.549655735658106,74.27793368041681
US-AR,57.109841407842296,53.23827591798396,71.32267168047204,82.13249483150383
US-AZ,120.68419145661944,117.99267847714837,159.22222563943538,208.3690503944448
US-CA,308.7068960103017,298.7287694651359,416.12107432691124,461.56856487928724
US-CO,41.56572477078214,47.30024417955235,66.60078623037789,81.91738015216634
US-CT,54.24673121359963,50.83406902880889,53.462754904103875,60.65741466397805
US-DC,11.16406257673119,10.623603995347384,12.17521104928734,11.600150687987519
US-DE,13.714990393262896,12.825540198926966,15.888995140735108,16.936772156874383
US-FL,160.41045896684048,177.20676332320298,191.0542043611787,209.29215727417676
US-GA,118.89084206635704,102.35129617636355,92.63530262663666,134.06056982523555
US-HI,8.05000462880472,9.20782265869772,10.003213879787156,10.394070527164612
US-IA,47.71475732748797,50.658454436187796,56.192279750904305,59.911334084963194
US-ID,40.246425961316405,37.45589531678144,45.06891948915245,52.16164212144161
US-IL,116.03898329691309,115.73336751434482,129.61946659555565,155.7150316966224
US-IN,103.25926213281667,107.31689174826981,143.5214703096884,151.2649164100682
US-KS,36.898781625767235,44.03377196815498,44.351879338059135,55.79335517724421
US-KY,95.74434235247186,91.35123098551774,89.82771417879339,115.76007482194781
US-LA,47.26510402063563,40.459482741001864,49.64367202770941,54.14250327076388
US-MA,104.29958690413508,100.81475805138815,131.08671748949666,149.44661952735888
US-MD,43.29270823768215,39.36007098873282,49.401777420805495,61.026288637463935
US-ME,31.251486711284635,29.623178086985614,30.18557678629408,35.96677463155499
US-MI,137.25748005857966,149.53812251682223,168.40529376081648,213.64824213288438
US-MN,50.7467391426082,62.54249148440473,73.7060921787635,89.48243856847775
US-MO,104.28621357157218,109.11875693995682,145.00344360033665,157.0831561652398
US-MS,41.902869285446634,38.98929424808119,51.74608670955857,56.96793912848455
US-MT,20.874136479264973,23.06726320798583,29.239771233444667,32.02764363981824
US-NC,105.00695114908287,109.25351336145265,106.85891506411794,149.75521975092542
US-ND,14.242943830289843,16.49605831779728,19.250714941900675,18.95204632678951
US-NE,22.071697586954972,25.697150407704388,29.49979868223131,31.16825937361082
US-NH,17.26518503243926,20.8978847420866,23.324270939358673,28.02706288911799
US-NJ,88.60477466722608,87.73942575279342,110.62683499990791,143.154183058232
US-NM,60.74669654538156,58.307076414418745,60.71419266027731,74.83201627704382
US-NV,49.259487934255034,42.42457100767163,48.834063369705056,70.40640470791911
US-NY,158.62004260932818,170.37390223114593,238.14684738101994,345.22341474353567
US-OH,122.66185989899476,137.60641494419266,173.47819727086812,201.35032064946128
US-OK,139.71375098695748,129.34083640958434,142.2431941820991,151.7373192036329
US-OR,84.33926253148204,77.86959826211137,83.88723119653645,95.78958193662092
US-PA,155.35081047143393,123.48071951855988,183.63990897529703,207.4052626127503
US-RI,9.280134584176272,11.565909811230137,10.819787124160955,13.077697737439122
US-SC,63.82327800109181,58.78012021302793,54.348750516301834,72.53118269339289
US-SD,16.392511399965784,17.511010940204933,18.71196509668348,19.306556593706254
US-TN,86.53417649217761,80.36506953409179,95.05458198399846,99.81361550010094
US-TX,224.06098437475586,222.973088661846,239.44221044878614,329.7442554852556
US-UT,16.298630238382383,16.943515295731824,20.363950728414135,19.78966223670068
US-VA,67.44000116008444,69.63823134635102,92.21799538645307,104.91314020195541
US-VT,9.888433248964972,10.23520136525002,11.744456425796052,12.013426306119802
US-WA,97.12400041371178,74.70816050441302,89.30678060961564,100.0440705758374
US-WI,68.04887843694146,69.98994563651809,91.83683318907543,92.89006213223855
US-WV,42.3441829790398,42.9078000934391,53.66342457766606,65.17090346415438
US-WY,14.158050293343422,16.169140987210486,16.390561552828913,18.4370472846119
US,2539.1928659229297,2497.790749990498,3125.103248806888,4462.870396362507
PR,24.682352491458662,25.931029636307724,26.705319305903497,26.815467332848296
