"geo","rmse_argo_h0","rmse_argo_h1","rmse_argo_h2","rmse_argo_h3"
"Alaska",9.75256622041312,12.1803635271539,14.4250281146754,16.8269603258787
"Alabama",35.8489235270002,50.0442296167631,67.1903362911715,76.0665141340659
"Arkansas",33.1614119169163,54.5455998983043,74.9020542372639,92.9965283570669
"Arizona",106.801030024299,166.438356254907,211.200425682907,248.090616178508
"California",207.448883097626,411.584444557169,549.723642788183,667.217830426725
"Colorado",39.0306005819823,49.3707197011541,64.932198498247,79.7849018494465
"Connecticut",50.0486983691182,68.3870274113282,83.7187985888497,97.2617643904596
"District.of.Columbia",11.4294235808592,14.1288203506472,17.7985503411047,18.1614419951
"Delaware",14.6737025773394,15.7650532728248,16.7373137872348,16.9128615234697
"Florida",109.398160539684,151.240819223588,191.243594712645,237.088036214191
"Georgia",93.5614940679342,133.633204220698,165.561690578552,186.573029355216
"Hawaii",7.11973581485154,7.75430001324823,8.76991296946872,9.33918967063865
"Iowa",35.2379753977906,53.6275965535303,71.8157512433382,86.0849460442083
"Idaho",37.363625875348,44.3322562871241,60.402441489374,71.1552271862887
"Illinois",100.632958323328,158.780310393939,202.857260821025,249.297547862913
"Indiana",75.3111791188814,125.572940609501,156.950118458711,188.422801958086
"Kansas",35.0444094070387,50.4546936314287,60.1572330146012,69.4503637090711
"Kentucky",55.755855608047,103.528476494322,140.507269100412,175.568013406591
"Louisiana",30.3738168005961,41.1749897624564,55.2987183747386,64.5957484242298
"Massachusetts",76.9169311186987,116.349733476879,164.623712865046,200.48619415487
"Maryland",36.5027185643608,52.5689488177656,65.2939359933923,82.5801237636544
"Maine",20.8760084378777,32.6410004731888,44.3026259701328,52.2050401560601
"Michigan",85.3308010354487,166.164940049313,238.748211771623,291.385350313548
"Minnesota",35.9572874867624,58.6238011772432,80.1068912215129,94.4248777563779
"Missouri",92.0189800455746,140.273187762068,171.970308593979,199.102129139196
"Mississippi",29.5407891175549,44.7453212597282,58.9952777733476,71.6630007944046
"Montana",17.2438907945545,22.5134471426447,26.8148354481404,31.3696141923967
"North.Carolina",72.8854022218884,125.469833901501,154.749317495529,178.559555950041
"North.Dakota",13.7465273079192,15.040315935289,16.6601797192012,18.3863652042273
"Nebraska",14.8299410702555,21.7974875482998,28.9108335702009,35.2133319167229
"New.Hampshire",17.5312253613407,24.2679675813133,29.7433262300956,33.6214927562064
"New.Jersey",73.5649486860258,119.929484507735,156.091105898329,191.066802616361
"New.Mexico",37.658959510635,56.5676184209998,77.4190149672502,96.9504168924719
"Nevada",39.7968471563218,60.0034812167337,75.3967162453419,88.9706327544657
"New.York",97.0511961635355,209.135449988845,310.875444411955,401.975621113199
"Ohio",84.491865569156,138.45364905753,192.587915342269,247.830448104563
"Oklahoma",86.956981460863,135.980886197802,180.189457888961,207.756726776199
"Oregon",63.8179158858089,113.260552914945,153.984120259865,177.932906951173
"Pennsylvania",135.318072226902,180.553470513438,221.957931389664,262.394492238991
"Rhode.Island",9.02095442013866,11.0468828829446,13.4353009152498,14.8895569983844
"South.Carolina",43.8598720562724,72.8786196721802,93.1355689528686,108.980416315581
"South.Dakota",14.9329682731897,19.2001982236258,22.858216152756,25.8606873170363
"Tennessee",61.6641165217511,89.8436556673309,113.621126126756,133.225241046634
"Texas",150.841973912333,220.045380314731,301.622683068928,387.071815154326
"Utah",12.2900918296099,15.7557557314138,18.148449772352,19.8423890543557
"Virginia",60.0082952333928,86.8146206070234,101.225129894822,118.818716500356
"Vermont",8.07244656781052,12.7434488373916,16.2374448722167,18.6098966525989
"Washington",80.6358864362744,117.34959100058,162.656744546955,199.07485354753
"Wisconsin",56.1162388166346,82.1208666108823,105.939203784727,130.333404725999
"West.Virginia",26.0122286420497,39.9368905325808,49.8732112476884,60.2955810862587
"Wyoming",14.3696393193198,16.4052982817602,17.6043827457337,19.0115482492338
"US",1815.29929452097,3491.72833631368,5481.79559754612,8913.06242640087
