geo,rmse_arimax_111_h0,rmse_arimax_111_h1,rmse_arimax_111_h2,rmse_arimax_111_h3
US-AK,7.898521410613923,10.768853940859234,13.866697003890575,17.00177741474088
US-AL,33.95447313011599,51.763772563280725,62.91899723590394,65.50971452560871
US-AR,32.68928637736216,52.203571300300325,70.77752817050727,88.91392605109871
US-AZ,81.01299624133298,159.5074110905114,217.37595432012745,265.11467712402924
US-CA,190.41072645746257,365.70373156389144,524.9710815037372,650.2567087471831
US-CO,28.82712887166474,48.33065537361837,68.42005153297671,84.49046995616577
US-CT,41.24307224494431,61.61829223835165,85.70747137028887,103.3826183740121
US-DC,9.029013725535107,12.726279828272013,14.897924094746372,16.499491715044147
US-DE,13.096220825774827,14.481719715226745,17.114476883239924,17.24238331891676
US-FL,98.08166999142863,153.31120229940265,208.71443226804485,249.18867157608685
US-GA,98.1346590684896,148.44368033762078,192.7236615937313,219.59005791717266
US-HI,6.557426508262475,7.607245176001111,8.751087940715971,9.417024217980504
US-IA,26.636134209519117,46.176669916482595,66.83391385823663,84.02963292552491
US-ID,26.3474402876242,36.25574936683851,52.61118364863313,66.48778336826535
US-IL,77.80664398159874,149.04794832150296,203.22606049345845,242.55449848172904
US-IN,58.23031305060371,105.8598397845452,146.06209706726943,181.7378913830288
US-KS,29.784403860261133,46.514256574876136,61.08581712984953,70.81859694183551
US-KY,53.490714147206035,103.54730913556321,140.2956662013683,166.82096518522496
US-LA,30.316060655611057,47.00484221478478,59.94458339497535,68.0484643571303
US-MA,53.50123873805381,105.2595933138352,163.6416567653708,211.05071105174295
US-MD,30.891434256897615,54.78630377765312,73.5381810177012,89.09047467891871
US-ME,15.176342283704724,27.22676417949405,39.60731743798202,50.747409121021406
US-MI,68.81890987320278,148.76687711086666,224.53208586448076,287.35693956437706
US-MN,30.14571678511001,51.85193566002536,75.38173930058974,93.11033159702117
US-MO,66.64835907180384,122.68541472696863,169.38368404808676,205.33042748172863
US-MS,23.53179396757931,35.82859384203109,50.74509684268963,60.09064751892203
US-MT,14.946694536890508,21.91498003015231,29.37498560957424,34.45480880223241
US-NC,84.52434426571,134.55494922598265,173.3322777330115,202.51768045688115
US-ND,9.145570923740781,12.506210148710792,17.229508480275253,21.061226497780446
US-NE,12.245739819215792,19.830077849226694,28.69337865808328,36.08866724417578
US-NH,11.240805472165908,19.527760591925833,26.219729963140058,32.08646332449399
US-NJ,69.44567260614498,125.02364603342525,171.08987263267116,210.71112525495073
US-NM,29.976889521487056,54.580630908281414,76.11347039112408,96.43992323613799
US-NV,31.83146770966753,57.29732417319854,76.50197791355639,94.05080600721342
US-NY,89.12623358585506,186.8312119892083,301.6856272296579,407.78690159643446
US-OH,68.56618129674877,122.29554747213885,183.43131452627884,233.9506272906411
US-OK,67.72896924631777,119.83734739187113,165.87337641496575,204.05975882704402
US-OR,47.2444652492847,88.67750708338127,131.82359361162273,167.0591577397121
US-PA,106.63314123345039,179.74696276291343,238.75348200599913,293.83805153249637
US-RI,7.515653187161429,9.868201306520536,13.525587240974819,16.98051344192506
US-SC,49.906945400848805,86.5181267571795,112.48601951827078,129.39260396334134
US-SD,10.756272380033197,15.052645533093658,19.59748302862796,23.791198532517264
US-TN,62.04315982455132,94.90438056050392,114.93758348186546,134.01516283528588
US-TX,123.73584820337662,224.62937412114096,311.3530347961642,372.6668592096389
US-UT,10.5008246789796,15.387034208201486,19.087732476303447,21.288542705534535
US-VA,58.615150803455606,91.87943749039177,115.6577496708909,132.62487913077652
US-VT,7.48722836412501,12.44207349638508,16.17405268394314,19.761201953923454
US-WA,59.69298807074567,87.83664829026168,134.8569447101349,169.6003919662306
US-WI,43.96318252884116,74.82341664972921,106.01733388563375,133.88399549447223
US-WV,26.358316886762005,42.124858322092486,54.53322623208674,65.10083392081597
US-WY,11.671235389120557,14.527228630910251,16.541834793094022,19.389612727996184
US,1180.7864681846715,2710.986295416632,4088.0029907773746,5249.404251011647
PR,16.597511485181666,21.334894788593406,24.083547769313654,28.196668286777193
