"geo","rmse_argo_h0","rmse_argo_h1","rmse_argo_h2","rmse_argo_h3"
"Alaska",9.70644241209936,12.4502092928412,14.6007107003895,16.8007369426006
"Alabama",37.4033457732471,54.6484201308621,65.5903828193628,75.8913583853196
"Arkansas",34.1390440268168,58.2839481085894,78.8489635015017,98.3080649391732
"Arizona",108.208697480939,166.18755907741,204.758816284176,240.161895249937
"California",207.074536787092,414.57623100463,563.694091446983,656.803659204989
"Colorado",38.4832574861848,51.6162923821884,67.8706405892996,81.2245270966673
"Connecticut",50.7958445970898,71.9530902051223,86.3198234603793,98.4641509142182
"District.of.Columbia",11.9530808709012,14.1729356662818,16.3057353832158,18.3375751558441
"Delaware",15.3255223257342,16.1105149779144,16.5852919755674,16.8812688357947
"Florida",111.091718976636,151.371214487558,204.949386448802,249.046685405329
"Georgia",93.085317023372,142.248322827163,177.345097696518,194.2003980435
"Hawaii",7.20190622833377,7.86113806066645,8.73624991143435,9.28072834431094
"Iowa",35.1773444404847,51.8936880907476,72.2266663305976,85.89659101657
"Idaho",36.9144748154964,43.9774296918315,59.7440506811397,71.6410109312256
"Illinois",112.965694387601,168.238790115315,217.830138508176,253.760867694953
"Indiana",87.2664107997759,129.352280932814,165.696499199683,199.932181982429
"Kansas",36.537892500587,49.7868358558866,59.3507589961712,68.8540191544654
"Kentucky",66.4843245402872,116.373111019091,158.857463989688,178.57095709139
"Louisiana",35.0434267458777,52.0766843559785,63.1801978933638,68.5548965865308
"Massachusetts",75.8931175282706,117.751762991183,163.041805135459,196.163618677603
"Maryland",36.9949219183517,53.6933605342342,67.5243820727253,84.2583916482078
"Maine",20.5501623009276,32.4848922837559,44.1995535221437,51.7220499165418
"Michigan",97.6173110806959,187.138209578822,257.681697912438,290.573888631242
"Minnesota",38.3236376051849,57.5136790810615,76.1529970306128,90.2794906047714
"Missouri",96.0127619199782,133.61960630793,171.331711002562,204.37919019241
"Mississippi",29.8993487839027,44.6564984115652,57.7477270414338,71.0881157269413
"Montana",17.3873264859379,22.6810373020645,26.7712053408979,31.3259006461731
"North.Carolina",77.2401047242432,135.852662853707,166.616400224786,184.012654660284
"North.Dakota",13.7286800927779,15.13129568224,17.411062688855,19.129668523361
"Nebraska",15.8571011859365,22.4106741822408,29.2536813717475,35.7810873748574
"New.Hampshire",17.1461357051037,23.9713939582658,29.9769452523884,33.6972738988154
"New.Jersey",80.6341067984374,124.016050061404,165.755684321663,199.23889373964
"New.Mexico",38.559295917305,56.8182040390403,76.4003184890186,96.9541537166313
"Nevada",41.2058015465397,61.0536117112236,76.2251856835797,88.6463211118607
"New.York",126.361501084135,231.548068224454,341.745327075404,427.148514123306
"Ohio",95.9356623731995,137.919386830962,200.97345444765,254.016415616865
"Oklahoma",100.821403979716,145.962414296783,185.351678554272,220.319839826983
"Oregon",66.0250842761007,108.937092701287,146.456776966328,170.47061764701
"Pennsylvania",133.401424595646,181.026623405757,226.704258686891,262.587671280923
"Rhode.Island",8.91655794379486,10.9888819596436,13.455596699886,14.8605429212032
"South.Carolina",46.9444087405836,73.0337245764672,92.662456605475,103.367378904848
"South.Dakota",14.7850948291634,19.1216382704337,22.9365105074651,26.1825212318725
"Tennessee",65.9178449281445,94.210417469536,116.526911946151,139.629191277449
"Texas",154.697097356754,231.770764056292,309.660381088427,394.777932545584
"Utah",13.3864337184412,16.5356386416316,18.8092957978076,20.1651921313175
"Virginia",59.5192128353755,84.4262942441876,104.486281458256,121.112318682151
"Vermont",8.13270126558312,12.8021690276101,16.2461174296332,18.7563006140981
"Washington",76.5463324368336,113.286643892815,162.37633560474,196.326902754913
"Wisconsin",58.8686588486058,84.0361515422815,109.968762274192,134.640457414459
"West.Virginia",29.6885631759734,40.2659602122553,51.6135613637937,62.2757833552021
"Wyoming",13.8656335667895,16.3634803516382,17.6152286347339,19.2087874789812
"Puerto.Rico",23.0209276504793,27.2431451727058,31.269459442892,34.865750403237
"US",1780.02764709158,2957.2697163409,4983.32597704938,7137.98435885307
