geo,rmse_lgbm_h0,rmse_lgbm_h1,rmse_lgbm_h2,rmse_lgbm_h3
US-AK,10.524239015397361,13.22349298536305,15.673041787871854,14.352598902765225
US-AL,50.138047228323664,60.01178262457341,67.45879906779798,80.16330355337325
US-AR,56.48701918082763,64.00476793450136,80.37522029636371,98.62811735889892
US-AZ,129.2863266209193,117.89153822993525,164.87385857882202,180.89892035254368
US-CA,338.0860140918069,297.84811248938996,393.629023500257,469.04888470129544
US-CO,39.466847625728676,48.44493153491046,61.25323536261354,71.35247283177056
US-CT,52.812337761685924,53.77682643709807,59.26538945751368,78.69886802624998
US-DC,12.209935057729881,14.311931873561624,15.764632812203107,17.561725369349105
US-DE,11.43280941649029,12.350729736079645,14.764843163819597,16.16176958447547
US-FL,159.6529149419162,139.99934376655725,168.26843291033083,206.2523564168761
US-GA,122.89478425826606,117.61382813270114,114.5858221321909,122.2902339227252
US-HI,9.886073374212609,9.857819655102373,10.882969754261019,11.533663362059848
US-IA,46.92932089809973,52.24443220339143,60.331100320872345,61.85727727463286
US-ID,43.15477418642127,43.09064044462393,44.54153120429369,52.14122775519205
US-IL,125.05929508446333,143.4728111574989,157.87931320876984,186.02511445777733
US-IN,125.25882434170177,136.88842424592323,143.95952262574917,164.9166149163226
US-KS,40.029938805053774,47.997663559593654,47.74567370722525,59.93671198686434
US-KY,105.54219274409091,105.69428795540391,115.3403776827363,134.25453736202263
US-LA,45.547174492346606,52.570837209058865,51.223340099928635,57.5373146763822
US-MA,105.93585797460716,112.47848758206389,142.88745530699063,155.64264619703803
US-MD,44.17663097038655,42.85371279541527,45.94286005685772,62.79826687090148
US-ME,29.90071609785703,30.99001828126549,36.05387911338387,38.52391065672123
US-MI,148.3166407670479,141.54330249801143,174.17933166923333,218.79131186084746
US-MN,45.639108917054735,55.80295435111905,80.53640201958899,87.87630355344916
US-MO,113.79583962125369,122.79564274685693,143.57415380405592,182.54855621881734
US-MS,45.323667440107194,42.50397844707295,54.35914309352805,61.01454951971123
US-MT,19.232627366284614,22.766170693079196,26.613432659148195,30.492265613244214
US-NC,110.43859212477228,124.1136458587202,150.7197888563043,186.3071448660925
US-ND,17.09341038549173,20.423585696541217,19.50941794631824,21.690129233439063
US-NE,22.512667289689333,25.35471990421904,26.41263112586235,28.948893830578413
US-NH,19.80327109505307,18.763869460475775,24.228257833879898,26.889692831435976
US-NJ,99.50501311549803,96.44326736448237,129.9840628387421,160.82194588578636
US-NM,67.9825267346401,67.73796789048988,64.92314829090756,68.74475286613139
US-NV,50.336151077654364,51.16444466728905,51.990875844249544,68.9540991260758
US-NY,142.60317523807697,185.53395002558185,242.36348117885308,329.8090678535787
US-OH,134.6224112530521,142.3962570255837,182.52341932818686,223.33143138919306
US-OK,140.9954361100555,143.62284373507418,156.32834657924025,170.69707533304953
US-OR,90.27060981554064,84.77910978687498,84.24621090648724,98.53413294449243
US-PA,142.02753149393334,132.17204631188278,159.48323764984744,207.9973326461995
US-RI,9.695730040760203,10.535648213365818,11.040964644537935,11.13956147718743
US-SC,70.71485746466392,67.46839853722508,64.54065723290856,75.65448509623658
US-SD,15.985528395397951,17.392802008355726,18.934531401086904,18.817872627147036
US-TN,88.06761520380876,82.79575810461598,83.87023121245902,102.03634360022735
US-TX,207.8245160143875,248.69676924231453,255.37400150115792,361.9930091752876
US-UT,17.8691554640301,21.108220729131094,24.772529599001196,28.03161698848144
US-VA,81.86010466506104,84.20616937527316,93.51394213646584,109.74180731026348
US-VT,11.758012888747766,12.0990143000021,13.241149448025817,15.75618619369485
US-WA,92.09662113864721,73.38746167247456,92.451782648931,100.74868154062541
US-WI,73.10755838946326,90.74790383163158,92.20210996285348,109.42858906831555
US-WV,40.88148228403435,50.563312897684206,50.05291281096101,71.24370021594682
US-WY,14.119112448938797,14.794737044848864,17.859273799548454,21.511254174920555
US,2639.6006648629095,2576.502219570474,3325.5244730702098,5224.360086065683
PR,26.172311862041944,26.71832622173009,32.533206172054115,32.50021176932754
