geo,rmse_adaboost_h0,rmse_adaboost_h1,rmse_adaboost_h2,rmse_adaboost_h3
US-AK,9.060380325914112,11.13377270018666,12.207175352481876,12.653524621227511
US-AL,39.902864561165046,25.260731490000452,40.461246737026606,52.55267297073715
US-AR,45.06820507480627,62.199587465335036,78.14743872617547,90.58356082150655
US-AZ,120.64770478316119,159.1363436690652,187.24050061610933,173.75688513174904
US-CA,344.63156778338094,276.0739561913287,336.2538657534738,599.491473946779
US-CO,39.78665763371021,51.43022192444562,62.22965575236353,73.90910684973
US-CT,41.989142670948866,35.7900993038514,33.55196780468942,45.17750576337685
US-DC,8.942454227042202,9.750334721439085,12.49405638228195,12.765009822999387
US-DE,12.6295146190769,8.87039783786533,9.24281161473997,12.467040867508787
US-FL,118.58809730054999,110.4901328061658,209.75150443179294,243.60002530803314
US-GA,83.56537620382879,39.08736588621687,67.83352037660754,137.48855908845755
US-HI,6.6468791262766125,6.570010798825356,7.411847505651437,7.481603011892313
US-IA,30.60847959791094,41.31303149969939,45.49492408262007,55.445100136923415
US-ID,35.5791388286171,32.03645911150422,49.24886439808053,51.60038969528109
US-IL,95.0919473625862,116.64368345975939,116.25815575077927,155.24052424829907
US-IN,72.80110781107092,60.54785160970938,72.40398583731087,110.09360385493216
US-KS,31.289110592285184,24.47674910234229,30.212981943214107,37.703548925760956
US-KY,74.3631862908301,52.1278540796977,104.99605484854722,123.34334165969088
US-LA,36.96922875348611,36.27968085166571,47.57782134098859,56.86512667795822
US-MA,84.42621155911253,113.11160164366042,133.2476882371145,143.91824707098908
US-MD,39.415089851606076,36.48188162382353,49.418931302808716,62.30664632032234
US-ME,19.40897821236951,25.899339592963653,34.18578555750937,34.803269119284444
US-MI,125.14189082247103,132.89283596168664,171.2473711259315,213.80118170350661
US-MN,40.63056850780733,38.144149989891964,42.371213305755205,49.594233626456244
US-MO,78.39618959198106,100.32658691246245,82.11617085580478,124.02881181475884
US-MS,30.69099799083807,41.87268371463342,53.026108928756635,69.63020749061243
US-MT,16.96464924780683,19.106303833771133,27.036784795786836,31.469887612219434
US-NC,90.13074715092594,53.70699539454147,108.14593127475868,122.99356831252364
US-ND,10.660288213690796,14.34804622198736,15.353709152485484,14.699405397395296
US-NE,17.328100326379147,19.82044698787504,24.770337189140832,23.95064177708153
US-NH,13.779133509414581,12.00516803527253,15.32219820586416,20.450066299998184
US-NJ,82.38243272995132,72.00211871364107,95.16339503666528,134.78864876070816
US-NM,38.97836736955652,37.50487815401045,54.83596658008102,77.42977444015116
US-NV,37.879360768591745,41.83052780695784,29.719886435255034,61.62295201352865
US-NY,157.57222316565873,99.98016681259246,166.83617722526975,237.126051200183
US-OH,114.05998811597588,148.42804328479278,179.83168940775633,185.5845708417397
US-OK,79.9550403541757,162.0901576411374,177.83212874425226,184.7748231862692
US-OR,60.4789646721029,76.17344158113005,92.83342919194976,55.40543024051832
US-PA,120.8646115483408,82.4829490499689,134.09579910980452,197.20494155737296
US-RI,7.828421129866878,7.490164751158457,8.743725866400563,11.909169044141395
US-SC,52.07424420715818,60.04330378681158,68.649950802496,87.15806334252188
US-SD,12.266027417937396,13.07457978734412,15.680819239393719,17.765916651099577
US-TN,67.8645378292557,69.97558961954738,107.7650346939434,117.68825641858749
US-TX,198.52633572297526,166.9675087710381,191.83006225413376,271.46491875099736
US-UT,10.59106711008173,10.824821961366709,10.428439961058562,13.028813081098688
US-VA,68.7501240679181,49.07270836215263,65.70408495482744,81.608245619114
US-VT,8.842552316993475,8.430441626765404,12.241537858073157,13.393382106689788
US-WA,67.6752399536198,92.04729847866219,132.9019179926591,163.87841251532456
US-WI,48.323330204984885,44.6606074227423,60.48976516760239,80.12781477326422
US-WV,31.523838861563025,17.377962066908076,34.14025038808815,49.948486840586
US-WY,13.788717109893872,13.452497032063206,15.64131869195473,18.76663530642435
US,2315.241463538111,1957.268471324287,2441.337443605515,4711.653693165136
PR,19.515732329568067,18.108515861118175,20.39738974982391,26.82766767540842
