"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","model"
2022-10-01,"Hawaii",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,1.4445245813859,"argo_detrend"
2022-10-01,"Hawaii",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,1.47160436752506,"argo_detrend"
2022-10-01,"Idaho",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,3.61212369614787,"argo_detrend"
2022-10-01,"Idaho",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,3.74526706460623,"argo_detrend"
2022-10-01,"Idaho",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,3.88226826945786,"argo_detrend"
2022-10-01,"Idaho",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,3.48318614438062,"argo_detrend"
2022-10-01,"Illinois",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,24.2976994005595,"argo_detrend"
2022-10-01,"Illinois",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,25.0744180804379,"argo_detrend"
2022-10-01,"Illinois",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,23.3559750646695,"argo_detrend"
2022-10-01,"Illinois",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,22.1547740979874,"argo_detrend"
2022-10-01,"Indiana",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,43.3560101222538,"argo_detrend"
2022-10-01,"Indiana",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,43.4272290805566,"argo_detrend"
2022-10-01,"Indiana",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,43.714708855928,"argo_detrend"
2022-10-01,"Indiana",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,42.0268594425446,"argo_detrend"
2022-10-01,"Iowa",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,5.57301589684719,"argo_detrend"
2022-10-01,"Iowa",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,4.84727403082393,"argo_detrend"
2022-10-01,"Iowa",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,5.43499276939959,"argo_detrend"
2022-10-01,"Iowa",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,4.3321558923528,"argo_detrend"
2022-10-01,"Kansas",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,3.95534884262649,"argo_detrend"
2022-10-01,"Kansas",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,4.35366327504716,"argo_detrend"
2022-10-01,"Kansas",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,3.56261860850593,"argo_detrend"
2022-10-01,"Kansas",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,1.760197979938,"argo_detrend"
2022-10-01,"Kentucky",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,15.0301483471724,"argo_detrend"
2022-10-01,"Kentucky",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,17.8363641537525,"argo_detrend"
2022-10-01,"Kentucky",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,18.0163788570036,"argo_detrend"
2022-10-01,"Kentucky",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,17.396655458047,"argo_detrend"
2022-10-01,"Louisiana",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,19.5757054887591,"argo_detrend"
2022-10-01,"Louisiana",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,22.2602566655059,"argo_detrend"
2022-10-01,"Louisiana",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,17.5931150110389,"argo_detrend"
2022-10-01,"Louisiana",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,20.0237436459458,"argo_detrend"
2022-10-01,"Maine",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,-2.58782542931769,"argo_detrend"
2022-10-01,"Maine",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,-2.91141029188941,"argo_detrend"
2022-10-01,"Maine",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,0.0107014190371821,"argo_detrend"
2022-10-01,"Maine",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,-0.0233054310874004,"argo_detrend"
2022-10-01,"Maryland",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,2.78325290521524,"argo_detrend"
2022-10-01,"Maryland",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,3.10179994121034,"argo_detrend"
2022-10-01,"Maryland",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,3.65876154838895,"argo_detrend"
2022-10-01,"Maryland",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,1.31825015637476,"argo_detrend"
2022-10-01,"Massachusetts",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,13.335753332485,"argo_detrend"
2022-10-01,"Massachusetts",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,10.1888000744264,"argo_detrend"
2022-10-01,"Massachusetts",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,6.03913077162484,"argo_detrend"
2022-10-01,"Massachusetts",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,6.35346921883055,"argo_detrend"
2022-10-01,"Michigan",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,11.5204363110701,"argo_detrend"
2022-10-01,"Michigan",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,13.278698637234,"argo_detrend"
2022-10-01,"Michigan",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,18.7051696346363,"argo_detrend"
2022-10-01,"Michigan",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,19.9067057856629,"argo_detrend"
2022-10-01,"Minnesota",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,13.0481405249257,"argo_detrend"
2022-10-01,"Minnesota",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,15.8151635343595,"argo_detrend"
2022-10-01,"Minnesota",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,19.2788309048029,"argo_detrend"
2022-10-01,"Minnesota",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,18.9653306273919,"argo_detrend"
2022-10-01,"Mississippi",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,20.3000741309795,"argo_detrend"
2022-10-01,"Mississippi",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,19.7543227804146,"argo_detrend"
2022-10-01,"Mississippi",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,18.834200557086,"argo_detrend"
2022-10-01,"Mississippi",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,18.1981217421231,"argo_detrend"
2022-10-01,"Missouri",0,"wk inc flu hosp",2022-10-01,"quantile",0.5,9.84607953134828,"argo_detrend"
2022-10-01,"Missouri",1,"wk inc flu hosp",2022-10-08,"quantile",0.5,15.825927581885,"argo_detrend"
2022-10-01,"Missouri",2,"wk inc flu hosp",2022-10-15,"quantile",0.5,21.3869578546222,"argo_detrend"
2022-10-01,"Missouri",3,"wk inc flu hosp",2022-10-22,"quantile",0.5,25.1119183687941,"argo_detrend"
