date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,US,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-10-22,18.1679277916617,0.255740463039657,27.6556175765746,10.2112956609533,36.9693087920073,31.7564216414835,3.9027774901633,3.32722672176194,0.910793337480531,114.950025753502,37.809052676559,1.47160436752506,3.48318614438062,22.1547740979874,42.0268594425446,4.3321558923528,1.760197979938,17.396655458047,20.0237436459458,-0.0233054310874004,1.31825015637476,6.35346921883055,19.9067057856629,18.9653306273919,18.1981217421231,25.1119183687941,1.24490341345484,5.29151564868318,14.9168343279577,-0.175880620888634,-0.217020678902021,9.02931782208987,7.98552904661149,7.76510640144814,4.23547800003104,28.5828111727938,15.5468611397295,1.97998522460602,52.7825101199686,32.1073002302728,0.195786886308882,13.3536021809727,6.76900963839401,30.7073788900463,48.3793589238281,562.935425676442,6.3119641667738,1.16917906416432,11.0841215351566,-2.14791335861495,3.6217351441949,8.27274344624852,1.76439297877181
2022-10-29,18.2756557691245,0.716535280001365,23.4048285716266,11.8815970921716,97.71840703687,29.4778440933545,0.177176138164135,3.1306763161625,0.835332577733704,131.237274317274,44.3815544755766,1.21283867541165,3.59943396974993,22.0075068647949,47.1531405384996,10.1694055432567,0.614367703135718,11.4230934186652,28.5530914318555,0.84879319940163,6.54232132833339,11.7456201845409,15.0396831678751,23.0495554151532,23.1546310684895,23.4708640354541,3.02699847482406,13.0483437650579,17.1203614857149,-0.335845692025699,8.97606505596718,14.6935068398946,44.0193209115004,14.6275053859079,4.34169501525936,26.7369587689076,13.1995586721595,-0.494990666609745,63.2197023345582,33.4317265733675,0.872900094204025,12.7944935850577,7.25032831669827,32.3602389695258,81.3786782738538,664.072927095795,2.16966236343077,0.196458616598272,24.2269056505425,0.205951832889211,3.84715422560738,4.9485742754575,1.72908093091027
2022-11-05,27.3300777368301,1.51906586217742,44.8404694834409,20.4571825686836,112.355350769778,28.5029532877846,3.08229165784628,3.05293097854786,0.860263385459615,156.416732962057,56.6259914171324,1.53837071408051,3.31290012818795,14.2127712718411,48.0784300112564,7.89206845871383,3.69626098021104,10.9641763597882,30.6447174509555,1.2930500944853,13.3885867349203,19.8461357493226,25.2725046024946,32.8158198956217,43.1657666081395,22.4678252627138,1.82917533921442,11.9757751724904,24.2563008836284,-0.491063098805135,7.20220911331317,18.6453979786927,52.9266578980516,13.5505739468741,4.1198497289281,31.7061609751301,13.4828178221432,-1.85031295613878,80.8503790226815,33.3502324005006,0.736019295385464,18.4675252878562,7.65127171704238,36.4416253692478,119.955563320203,822.35724199673,0.704972832930547,0.681623637674852,34.4438409866192,-0.782454528356453,6.71040469413227,6.16696359113304,1.77354007583478
2022-11-12,54.1271847580055,1.59280176775367,42.1159994309268,31.3345203582565,142.433921604982,23.4593635048749,8.27994124990065,2.96419595648866,0.898401375464437,148.049781393186,85.6117932117175,1.83197494169761,2.92809589476896,13.4117084444195,46.3799944229129,8.21414553326126,1.54594691191241,22.0446326493413,48.4506802399959,-2.86646431491658,24.9432870649074,26.0727669542258,32.0595185226257,28.6926891976686,50.9401278807357,25.0153602962649,1.84404341393519,8.72932106413897,11.2269118432842,-0.558499563290315,18.5945920266447,21.7726354627108,54.4255169764161,15.1131101200676,4.78404603475925,40.5375704243868,20.6196360369861,1.1934202679542,93.003827215991,34.1217986695312,0.0508724944842837,26.7147834951882,8.39050076697546,46.5055553188616,189.288552604523,1104.44859651152,1.32350370882022,0.136212157237619,40.7723797624523,1.88730720744551,10.9638414629367,3.50168232642107,1.90544730707925
2022-11-19,99.5540051896984,1.13714493162443,45.0340182212663,38.8020106262663,163.900784259414,23.1497690673883,17.0677269404521,3.30992546400171,1.05253520386183,168.107854197691,114.127700864777,0.750033914349807,2.6416381550265,25.5650816452641,53.2300701934996,9.82094972901968,9.45618135983415,13.4677037817959,73.4694821751951,-0.993518411625669,41.0804513185264,22.241673958782,19.849764385658,34.087477318636,64.9177985330041,39.7694989683978,1.62836630217024,10.9676074290733,12.1212385469141,-0.476253162978606,28.5218833060428,23.0735577893925,38.1128040562197,41.3904855037656,6.1404099642491,41.232981092936,32.928325068539,4.61752586850433,109.037807264374,34.3249937878853,1.39174692736933,50.4829769102852,9.09906724762555,61.4857451997479,306.781251496926,453.853811357658,4.09940290243656,1.15870927635081,58.4500704719945,5.99757983455156,14.5272996715472,5.17445886044615,1.86845061335239
2022-11-26,199.5383411936,4.61454779294736,50.9240734214354,62.2921918391102,239.164566620065,33.0427284055703,30.8715620194729,3.48437842854329,1.16346153846154,238.394011592372,169.120667020233,3.39674279208268,2.28192661977332,69.8696337939917,63.314942163014,15.6282519208508,11.1278637050372,40.8573994894975,128.980799315522,-0.0944485753821738,75.7157081572724,27.2974722318985,32.7491554885377,44.8181681791605,122.344932737855,50.3535452603914,3.73567018871114,12.079975872486,8.44009198255921,-1.04258414460914,48.6136297728364,34.0637140315331,71.8232193456344,135.191969043429,6.89939940407698,88.7965583646377,54.4730041468772,5.81489080337271,165.634471776352,36.7997222545074,-0.308692258607108,114.167360077063,9.43133695465195,88.8582670937205,500.18639880894,1002.58249920746,3.13266577204073,1.05055292098591,133.124698888668,13.6133839569848,42.546138716522,5.67714717022754,2.11766274719188
2022-12-03,324.162557065227,7.27805491090282,89.5429564938818,113.532740533059,368.783965269074,43.7814703866152,29.6794317149381,4.4061224936459,1.48076923076923,280.484466729521,202.056620001995,3.74337522417547,5.24662781059908,91.9405393479639,80.3512994521242,15.9836526064874,21.675059158737,75.8119307828176,168.384246061528,-3.08149964203163,115.825273193083,30.6332262516107,35.6705484727633,66.6704737531131,198.648931616788,69.6311365034685,5.51188331366194,22.7063038797858,20.7678970110842,-0.942640734337511,109.018892904489,55.5210202793693,105.862021137102,237.107845923352,8.78037325460112,130.427871911191,49.6801019842512,20.9382976844217,207.745446226177,42.8407383451228,1.54087737783584,207.258688624959,9.62952848697004,153.623435608678,795.828570608725,2156.1773280027,-2.242365337858,0.0062815067655823,258.708377817299,30.5484415948338,71.2751275645332,13.8031054538383,2.93713661915263
2022-12-10,291.429982985603,8.63335103948625,130.321617198526,189.168644755293,735.976400607718,59.935737436353,38.8052188757018,5.36211616154949,54.8468558760598,436.323076843494,212.02892245603,12.5834427800387,6.4188734829818,173.882974210889,92.4614895717686,17.3578947350528,29.5807829225109,188.53186186361,151.454872948088,0.483022455877521,200.798985133523,34.0705516775198,54.9695247887191,118.734993137805,231.609965249859,97.4034536947574,9.37039406797621,19.4862152863455,51.2040501152967,0.0838964442027699,194.271093890714,92.296539825317,170.329957175011,320.3042650415,10.2152682094412,189.084431355553,70.3418953499355,36.3454819065732,301.777089646447,48.0264383618874,3.72543375382415,221.300244413663,9.93193993120969,259.780078320355,1122.48236180471,6740.04153232144,1.1673660650123,1.11412238064587,340.202285624342,46.9905903079848,110.162504828212,22.5141909700793,4.37813324343083
2022-12-17,200.685154137581,16.4522159861285,229.330028007725,235.664102019307,1361.67501086435,82.4977399022241,73.470460499421,7.66521534727517,24.7478263110045,493.15342384525,191.520602119617,10.6716824719121,13.9813468721298,274.887041355254,153.195601612221,29.5307179575927,47.85084009455,312.603591701088,153.426386277788,5.12817439499034,184.375268655457,63.784355137094,107.301102551392,163.611066355253,246.922373407482,172.959747804434,11.3629028679631,23.4649188880163,82.2449182383935,1.51036679109245,255.013929614376,162.875923192195,305.663528698578,335.176474177155,12.1822240665171,269.053934001668,132.260834027965,88.8900969487793,364.346901160029,55.946741343421,1.44395230487016,183.661157379724,11.4568892411077,251.974977557662,1285.25699261443,13975.1481374859,-6.00783028248615,0.823886052898355,255.759253720214,161.47761333599,127.545156079476,48.6502380266531,5.42177238034802
2022-12-24,192.403283188654,29.8137079801884,409.331779803724,416.562907324818,3023.71970225253,110.527388610803,132.924457747981,12.2009460468815,52.0520536940768,675.622391294368,167.323798591706,10.7978503872402,14.9060124754008,570.221149644733,240.830877396458,67.8725303951745,102.720075952599,586.523064519462,185.759611331857,24.6031533290837,271.477703996942,158.342798470973,206.279412663358,307.242108700138,263.56963339432,281.643740671487,31.27159383459,45.7875339943766,172.3131496612,2.99528077142918,489.637364517649,181.733228135487,599.835936579419,407.026893115896,12.8085902219535,478.417414404873,266.705528414651,106.677335350242,533.008755428116,62.0254781984061,9.40134388435996,178.465321999896,12.4787632656691,412.158081237808,1788.21761875378,17175.6258962749,6.80608409579475,7.76430947739559,353.54296220378,445.64920565019,182.485072332836,111.391686362602,13.568059895238
